pair,r,df,p_value
painful_1_f_makes_life_more_convenient,-0.238,198,p<.001
painful_1_f_have_choice,-0.175,198,p=0.013
painful_1_f_expect_free,0.131,198,p=0.064
painful_1_f_too_high,0.591,198,p<.001
painful_1_f_can_hold_touch,-0.044,198,p=0.534
painful_1_f_use_long_period,-0.049,198,p=0.487
painful_1_f_budget_strain,0.497,198,p<.001
painful_1_f_worthless_alone,0.175,198,p=0.013
f_makes_life_more_convenient_f_have_choice,-0.324,198,p<.001
f_makes_life_more_convenient_f_expect_free,0.128,198,p=0.071
f_makes_life_more_convenient_f_too_high,-0.265,198,p<.001
f_makes_life_more_convenient_f_can_hold_touch,-0.006,198,p=0.928
f_makes_life_more_convenient_f_use_long_period,0.257,198,p<.001
f_makes_life_more_convenient_f_budget_strain,-0.067,198,p=0.347
f_makes_life_more_convenient_f_worthless_alone,0.076,198,p=0.283
f_have_choice_f_expect_free,-0.285,198,p<.001
f_have_choice_f_too_high,-0.077,198,p=0.282
f_have_choice_f_can_hold_touch,0.186,198,p=0.008
f_have_choice_f_use_long_period,-0.138,198,p=0.051
f_have_choice_f_budget_strain,0.009,198,p=0.901
f_have_choice_f_worthless_alone,-0.148,198,p=0.037
f_expect_free_f_too_high,0.204,198,p=0.004
f_expect_free_f_can_hold_touch,-0.103,198,p=0.146
f_expect_free_f_use_long_period,-0.005,198,p=0.945
f_expect_free_f_budget_strain,0.165,198,p=0.019
f_expect_free_f_worthless_alone,0.458,198,p<.001
f_too_high_f_can_hold_touch,0.029,198,p=0.685
f_too_high_f_use_long_period,-0.174,198,p=0.014
f_too_high_f_budget_strain,0.426,198,p<.001
f_too_high_f_worthless_alone,0.236,198,p<.001
f_can_hold_touch_f_use_long_period,0.184,198,p=0.009
f_can_hold_touch_f_budget_strain,0.153,198,p=0.031
f_can_hold_touch_f_worthless_alone,0.087,198,p=0.223
f_use_long_period_f_budget_strain,0.098,198,p=0.166
f_use_long_period_f_worthless_alone,0.021,198,p=0.766
f_budget_strain_f_worthless_alone,0.14,198,p=0.048
