StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Last Seen Flow Element ID,Last Seen Question IDs,consent,eng_screener_1,eng_screener_2,prod_1_2,prod_2_2,prod_2_3,prod_2_4,prod_2_5,prod_2_6,prod_2_7,prod_2_8,prod_2_9,prod_2_10,prod_2_11,prod_2_12,prod_2_13,prod_2_14,prod_2_15,prod_2_16,prod_2_17,prod_2_18,prod_2_19,prod_2_20,prod_2_21,rt_prod_1_First Click,rt_prod_1_Last Click,rt_prod_1_Page Submit,rt_prod_1_Click Count,prod_1_painful_1,prod_1_typ_charge,prod_1_fair_price,prod_1_value_1,prod_1_purchased,prod_1_2,prod_2_2,prod_2_3,prod_2_4,prod_2_5,prod_2_6,prod_2_7,prod_2_8,prod_2_9,prod_2_10,prod_2_11,prod_2_12,prod_2_13,prod_2_14,prod_2_15,prod_2_16,prod_2_17,prod_2_18,prod_2_19,prod_2_20,prod_2_21,Q586_First Click,Q586_Last Click,Q586_Page Submit,Q586_Click Count,Q587_1,Q589,Q590,Q592_1,Q593,shark_screeners_1,shark_screeners_2,shark_screeners_3,shark_screeners_4,prod_1_2,prod_2_2,prod_2_3,prod_2_4,prod_2_5,prod_2_6,prod_2_7,prod_2_8,prod_2_9,prod_2_10,prod_2_11,prod_2_12,prod_2_13,prod_2_14,prod_2_15,prod_2_16,prod_2_17,prod_2_18,prod_2_19,prod_2_20,prod_2_21,Q596_First Click,Q596_Last Click,Q596_Page Submit,Q596_Click Count,Q597_1,Q599,Q600,Q602_1,Q603,age,gender,comments,mTurkCode,PROLIFIC_PID,STUDY_ID,SESSION_ID,Item,Description,Item2,Description2,Item3,Description3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Last Seen Flow Element ID,Last Seen Question IDs,Do you agree to participate in the research study described above?,"Please select the response whose meaning is closest to the bolded word.
PERIOD: It was a difficult period.","Please select the response whose meaning is closest to the bolded word.
FRACTURE: They found a fracture.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - This item is greatly overpriced.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - The price of this item is more than I’d expect to pay for it.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - This item is very expensive.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - Without other items, this item is pretty much worthless.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - I only get value from this when I use it with other products.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - This product is something I pay for in order to enable something else, not because I value it for its own sake.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - This product allows me to do something, rather than being enjoyable in itself.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - I feel like I have a choice of whether to buy this item.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - I have other options if I choose not to buy this thing.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - I can't really control when I have to buy this.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - Paying for this product feels like an unavoidable requirement, not a free choice.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - I feel like I have no real choice but to pay for this product in situations where I need it.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - I can hold or touch this item in my hands.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - This is a physical product.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - This product is tangible/concrete.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - If I buy this product, I can use it over a long period of time.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - This product lasts a while.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - Most businesses give this away for free.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - People usually don't pay money for this.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - I expect this item to be free.","Product 1 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description]

 
Please respond to each statement below regarding that purchase: - This item feels like it should be free.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How painful is it to purchase [Field-Description]? - not at all painful:very painful,"On average, how much does a typical establishment charge for [Field-Description]?",What do you believe is a fair price for [Field-Description]?,How much value do you get from [Field-Description]? - None:A whole lot,Have you purchased [Field-Description] in the past six months?,"Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - This item is greatly overpriced.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - The price of this item is more than I’d expect to pay for it.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - This item is very expensive.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - Without other items, this item is pretty much worthless.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - I only get value from this when I use it with other products.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - This product is something I pay for in order to enable something else, not because I value it for its own sake.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - This product allows me to do something, rather than being enjoyable in itself.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - I feel like I have a choice of whether to buy this item.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - I have other options if I choose not to buy this thing.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - I can't really control when I have to buy this.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - Paying for this product feels like an unavoidable requirement, not a free choice.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - I feel like I have no real choice but to pay for this product in situations where I need it.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - I can hold or touch this item in my hands.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - This is a physical product.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - This product is tangible/concrete.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - If I buy this product, I can use it over a long period of time.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - This product lasts a while.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - Most businesses give this away for free.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - People usually don't pay money for this.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - I expect this item to be free.","Product 2 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description2]

 
Please respond to each statement below regarding that purchase: - This item feels like it should be free.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How painful is it to purchase [Field-Description2]? - not at all painful:very painful,"On average, how much does a typical establishment charge for [Field-Description2]?",What do you believe is a fair price for [Field-Description2]?,How much value do you get from [Field-Description2]? - None:A whole lot,Have you purchased [Field-Description2] in the past six months?,Please respond truthfully to the items below. - Have you ever been bitten by an insect?,Please respond truthfully to the items below. - Have you ever been bitten by a dog?,Please respond truthfully to the items below. - Have you ever been bitten by a great white shark?,Please respond truthfully to the items below. - Have you ever suffered a fatal heart attack?,"Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - This item is greatly overpriced.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - The price of this item is more than I’d expect to pay for it.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - This item is very expensive.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - Without other items, this item is pretty much worthless.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - I only get value from this when I use it with other products.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - This product is something I pay for in order to enable something else, not because I value it for its own sake.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - This product allows me to do something, rather than being enjoyable in itself.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - I feel like I have a choice of whether to buy this item.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - I have other options if I choose not to buy this thing.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - I can't really control when I have to buy this.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - Paying for this product feels like an unavoidable requirement, not a free choice.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - I feel like I have no real choice but to pay for this product in situations where I need it.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - I can hold or touch this item in my hands.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - This is a physical product.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - This product is tangible/concrete.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - If I buy this product, I can use it over a long period of time.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - This product lasts a while.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - Most businesses give this away for free.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - People usually don't pay money for this.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - I expect this item to be free.","Product 3 / 3

 

Think about how it feels to purchase the following item. If you have never purchased this item, try to imagine how it would feel:

 

[Field-Description3]

 
Please respond to each statement below regarding that purchase: - This item feels like it should be free.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How painful is it to purchase [Field-Description3]? - not at all painful:very painful,"On average, how much does a typical establishment charge for [Field-Description3]?",What do you believe is a fair price for [Field-Description3]?,How much value do you get from [Field-Description3]? - None:A whole lot,Have you purchased [Field-Description3] in the past six months?,How old are you?,What is your gender?,Please feel free to write any comments you may have about this survey.,mTurkCode,PROLIFIC_PID,STUDY_ID,SESSION_ID,Item,Description,Item2,Description2,Item3,Description3
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""LastSeenFlowID""}","{""ImportId"":""LastSeenQuestions""}","{""ImportId"":""QID115""}","{""ImportId"":""QID549""}","{""ImportId"":""QID551""}","{""ImportId"":""QID605_1""}","{""ImportId"":""QID605_2""}","{""ImportId"":""QID605_3""}","{""ImportId"":""QID605_4""}","{""ImportId"":""QID605_5""}","{""ImportId"":""QID605_6""}","{""ImportId"":""QID605_7""}","{""ImportId"":""QID605_8""}","{""ImportId"":""QID605_9""}","{""ImportId"":""QID605_10""}","{""ImportId"":""QID605_11""}","{""ImportId"":""QID605_12""}","{""ImportId"":""QID605_13""}","{""ImportId"":""QID605_14""}","{""ImportId"":""QID605_15""}","{""ImportId"":""QID605_16""}","{""ImportId"":""QID605_17""}","{""ImportId"":""QID605_18""}","{""ImportId"":""QID605_19""}","{""ImportId"":""QID605_20""}","{""ImportId"":""QID605_21""}","{""ImportId"":""QID528_FIRST_CLICK""}","{""ImportId"":""QID528_LAST_CLICK""}","{""ImportId"":""QID528_PAGE_SUBMIT""}","{""ImportId"":""QID528_CLICK_COUNT""}","{""ImportId"":""QID522_1""}","{""ImportId"":""QID525_TEXT""}","{""ImportId"":""QID555_TEXT""}","{""ImportId"":""QID556_8""}","{""ImportId"":""QID524""}","{""ImportId"":""QID585_1""}","{""ImportId"":""QID585_2""}","{""ImportId"":""QID585_3""}","{""ImportId"":""QID585_4""}","{""ImportId"":""QID585_5""}","{""ImportId"":""QID585_6""}","{""ImportId"":""QID585_7""}","{""ImportId"":""QID585_8""}","{""ImportId"":""QID585_9""}","{""ImportId"":""QID585_10""}","{""ImportId"":""QID585_11""}","{""ImportId"":""QID585_12""}","{""ImportId"":""QID585_13""}","{""ImportId"":""QID585_14""}","{""ImportId"":""QID585_15""}","{""ImportId"":""QID585_16""}","{""ImportId"":""QID585_17""}","{""ImportId"":""QID585_18""}","{""ImportId"":""QID585_19""}","{""ImportId"":""QID585_20""}","{""ImportId"":""QID585_21""}","{""ImportId"":""QID586_FIRST_CLICK""}","{""ImportId"":""QID586_LAST_CLICK""}","{""ImportId"":""QID586_PAGE_SUBMIT""}","{""ImportId"":""QID586_CLICK_COUNT""}","{""ImportId"":""QID587_1""}","{""ImportId"":""QID589_TEXT""}","{""ImportId"":""QID590_TEXT""}","{""ImportId"":""QID592_8""}","{""ImportId"":""QID593""}","{""ImportId"":""QID505_1""}","{""ImportId"":""QID505_2""}","{""ImportId"":""QID505_3""}","{""ImportId"":""QID505_4""}","{""ImportId"":""QID606_1""}","{""ImportId"":""QID606_2""}","{""ImportId"":""QID606_3""}","{""ImportId"":""QID606_4""}","{""ImportId"":""QID606_5""}","{""ImportId"":""QID606_6""}","{""ImportId"":""QID606_7""}","{""ImportId"":""QID606_8""}","{""ImportId"":""QID606_9""}","{""ImportId"":""QID606_10""}","{""ImportId"":""QID606_11""}","{""ImportId"":""QID606_12""}","{""ImportId"":""QID606_13""}","{""ImportId"":""QID606_14""}","{""ImportId"":""QID606_15""}","{""ImportId"":""QID606_16""}","{""ImportId"":""QID606_17""}","{""ImportId"":""QID606_18""}","{""ImportId"":""QID606_19""}","{""ImportId"":""QID606_20""}","{""ImportId"":""QID606_21""}","{""ImportId"":""QID596_FIRST_CLICK""}","{""ImportId"":""QID596_LAST_CLICK""}","{""ImportId"":""QID596_PAGE_SUBMIT""}","{""ImportId"":""QID596_CLICK_COUNT""}","{""ImportId"":""QID597_1""}","{""ImportId"":""QID599_TEXT""}","{""ImportId"":""QID600_TEXT""}","{""ImportId"":""QID602_8""}","{""ImportId"":""QID603""}","{""ImportId"":""QID491_TEXT""}","{""ImportId"":""QID492""}","{""ImportId"":""QID553_TEXT""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""Item""}","{""ImportId"":""Description""}","{""ImportId"":""Item2""}","{""ImportId"":""Description2""}","{""ImportId"":""Item3""}","{""ImportId"":""Description3""}"
8/4/2026 6:49,8/4/2026 6:53,0,24.231.140.243,100,249,1,8/4/2026 6:53,R_5s6LxIjuZZJ6lw5,,,,,45.8249,-88.066,anonymous,EN,FL_EOS_ID,,1,2,1,3,3,4,1,1,7,5,7,4,4,6,5,7,7,7,6,6,1,1,1,1,4.512,56.799,57.436,26,4,760,600,7,0,5,6,5,1,1,1,2,7,7,1,4,5,5,5,6,1,1,1,1,1,1,2.983,47.686,48.372,28,3,15,10,5,1,1,1,0,0,7,7,7,7,7,7,7,2,2,7,7,7,1,2,1,4,1,1,1,1,1,1.838,42.885,43.68,25,7,200,100,7,1,51,1,n/a,,5ecaf0fa5c1f7f6599d959ff,6a717b1f4315ca0c46f51534,6a71dfb4b6220d6c1435ab2a,Laptop,a laptop,Restaurant dinner,a restaurant dinner,Electricity bill,an electricity bill
8/4/2026 6:49,8/4/2026 6:53,0,172.56.33.115,100,243,1,8/4/2026 6:53,R_11TvMTDgd72mBKQ,,,,,39.037,-77.0412,anonymous,EN,FL_EOS_ID,,1,2,2,5,4,3,1,1,1,1,5,6,1,2,2,1,1,1,7,6,1,1,1,1,7.966,59.774,60.291,22,5,45,30,4,0,4,4,3,1,1,1,1,6,6,1,2,1,1,1,1,5,6,1,1,1,1,4.707,41.25,41.783,21,4,45,30,4,0,1,1,0,0,4,2,2,1,1,6,1,1,6,1,2,2,1,1,2,7,7,1,1,1,1,4.402,42.85,43.525,21,3,30,15,4,1,43,2,,,69f6a49df0d884e1a35cea37,6a717b1f4315ca0c46f51534,6a71dfcb939342fecde5cbea,Gym membership,a gym membership,Gym membership,a gym membership,Netflix,a Netflix subscription
8/4/2026 6:49,8/4/2026 6:53,0,66.213.123.46,100,268,1,8/4/2026 6:53,R_61F8tDHwQRsrrJh,,,,,41.1682,-81.2398,anonymous,EN,FL_EOS_ID,,1,2,1,3,2,3,2,2,3,5,6,6,2,1,3,6,6,6,4,3,2,1,2,3,14.119,49.208,49.759,24,2,10,10,5,0,5,6,5,2,4,6,6,6,3,5,6,6,4,4,6,2,2,1,1,1,2,4.755,32.322,32.856,21,5,100,100,4,0,1,1,0,0,4,4,3,4,3,2,2,5,5,3,2,2,2,1,4,6,6,1,1,1,1,3.644,49.228,49.865,24,4,10,10,5,0,35,1,,,60d3740f31606cb50e49f00c,6a717b1f4315ca0c46f51534,6a71dfcaba8dad6e23523f24,Bottle of wine,a bottle of wine,Uber or Lyft,Uber or Lyft,Digital book,a digital book
8/4/2026 6:49,8/4/2026 6:53,0,75.232.40.45,100,271,1,8/4/2026 6:53,R_5uqlZc4Vr9uMV8Z,,,,,41.6475,-88.0895,anonymous,EN,FL_EOS_ID,,1,2,1,3,3,2,1,1,1,1,7,7,1,1,1,7,7,7,1,1,1,1,1,1,7.92,54.731,55.757,21,3,12,9,3,1,1,1,2,1,1,1,1,7,7,1,1,1,7,7,7,3,3,1,1,1,1,6.266,43.503,44.918,21,1,4,4,5,1,1,1,0,0,1,1,1,1,1,1,1,7,5,1,1,5,7,7,7,7,7,1,1,1,1,7.297,42.892,43.849,21,1,12,8,5,1,68,2,,,69b1a380d1a73b12ea3dff15,6a717b1f4315ca0c46f51534,6a71dfcf919b0ca977b22314,Fast food meal,a fast food meal,Ice Cream,ice cream,Shampoo,shampoo
8/4/2026 6:50,8/4/2026 6:54,0,170.85.76.176,100,252,1,8/4/2026 6:54,R_7F58bO9NIOMRy5j,,,,,40.7126,-74.0066,anonymous,EN,FL_EOS_ID,,1,2,1,5,7,5,6,7,7,6,6,6,3,5,4,1,1,2,4,5,7,6,7,7,8.004,64.021,64.545,24,4,8,0,5,0,5,5,4,1,1,1,2,6,5,1,1,5,5,5,5,1,3,1,1,1,1,4.951,50.013,50.609,24,3,40,30,5,1,1,0,0,0,5,6,5,2,4,6,7,5,3,4,6,5,1,3,4,1,2,1,1,1,1,4.836,46.415,47.048,25,3,25,15,5,1,33,2,,,6a01c564b93faab6dc383fbc,6a717b1f4315ca0c46f51534,6a71dff8095d9b87c8c40b59,Hotel Wifi,hotel wifi,Restaurant dinner,a restaurant dinner,Uber or Lyft,Uber or Lyft
8/4/2026 6:50,8/4/2026 6:54,0,69.148.189.1,100,263,1,8/4/2026 6:54,R_6diRiOVFki8jjmJ,,,,,29.8323,-95.736,anonymous,EN,FL_EOS_ID,,1,2,1,7,7,7,7,7,7,7,1,1,7,7,7,1,7,7,1,1,1,1,1,7,9.935,70.185,70.771,23,7,50,20,5,1,7,7,7,1,1,1,1,7,7,1,1,1,7,7,7,7,7,1,1,1,1,3.609,39.934,40.628,21,7,1000,200,1,0,1,0,0,0,7,7,7,7,7,7,7,1,4,7,7,7,1,1,1,1,1,7,1,7,7,4.178,48.827,49.611,21,7,20,0,1,1,24,2,,,6a04bb8d89ca054e84cf57b3,6a717b1f4315ca0c46f51534,6a71dff406be8d2ded9689e4,Tank of Gas,a tank of gas,Designer watch,a designer watch,Parking,parking
8/4/2026 6:49,8/4/2026 6:54,0,142.147.51.131,100,307,1,8/4/2026 6:54,R_74iVxTh8t73oq2F,,,,,33.238,-97.1134,anonymous,EN,FL_EOS_ID,,1,2,1,4,4,1,1,1,4,4,7,4,1,1,2,4,2,4,7,6,1,1,1,1,7.007,72.47,73.585,24,1,12,10,4,1,7,5,7,1,1,1,1,7,5,1,1,1,5,6,5,5,5,1,1,1,1,6.973,41.526,42.404,21,5,65,50,4,0,1,1,0,0,5,5,5,4,4,5,4,7,7,2,1,1,2,5,4,6,4,1,1,1,1,4.174,41.023,41.666,22,5,50,50,5,0,50,1,No comments at this time.,,662d57d09714cf1c25756326,6a717b1f4315ca0c46f51534,6a71dfcdc3c287e62e15393f,Digital book,a digital book,Perfume,perfume,Meal kit subscription,a meal kit subscription
8/4/2026 6:49,8/4/2026 6:54,0,100.8.214.132,100,298,1,8/4/2026 6:54,R_5s5yEWlb7dmUn4U,,,,,40.7467,-74.0574,anonymous,EN,FL_EOS_ID,,1,2,1,3,2,3,1,1,4,2,7,7,2,1,2,7,7,7,1,2,1,1,1,1,7.261,69.959,70.634,23,2,7,6,4,0,3,5,3,1,1,2,1,7,1,1,1,1,7,7,7,7,7,1,1,1,1,9.967,46.802,47.422,22,2,30,18,6,1,1,0,0,0,2,2,2,2,1,6,6,6,6,2,2,3,1,1,1,7,6,1,1,1,1,8.042,55.064,55.781,23,2,35,30,7,0,24,1,,,69948b283242a34d06d8e9e0,6a717b1f4315ca0c46f51534,6a71dfc0581a7fabb5d69e8e,Starbucks,Starbucks,Board Game,a board game,Gym membership,a gym membership
