StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Agreement,PoPGeneralQuestion_1,PoPGeneralQuestion_2,PoPGeneralQuestion_3,PoPGeneralQuestion_4,PoPGeneralQuestion_5,PoPGeneralQuestion_6,PoPGeneralQuestion_7,PoPGeneralQuestion_8,HotelWifiQuestion_1,HotelWifiQuestion_2,HotelWifiQuestion_3,HotelWifiQuestion_4,HotelWifiQuestion_5,HotelWifiQuestion_6,InflightWifiQuestion_1,InflightWifiQuestion_2,InflightWifiQuestion_3,InflightWifiQuestion_4,InflightWifiQuestion_5,InflightWifiQuestion_6,ParkingQuestion_1,ParkingQuestion_2,ParkingQuestion_3,ParkingQuestion_4,ParkingQuestion_5,ParkingQuestion_6,HotelBFquestion_1,HotelBFquestion_2,HotelBFquestion_3,HotelBFquestion_4,HotelBFquestion_5,HotelBFquestion_6,AppetizerQuestion_1,AppetizerQuestion_2,AppetizerQuestion_3,AppetizerQuestion_4,AppetizerQuestion_5,AppetizerQuestion_6,PrinterInkQuestion_1,PrinterInkQuestion_2,PrinterInkQuestion_3,PrinterInkQuestion_4,PrinterInkQuestion_5,PrinterInkQuestion_6,CargasQuestion_1,CargasQuestion_2,CargasQuestion_3,CargasQuestion_4,CargasQuestion_5,CargasQuestion_6,Fragrance_1,Fragrance_2,Fragrance_3,Fragrance_4,Fragrance_5,Fragrance_6,Attention_1,Attention_2,Attention_3,Attention_4,Attention_5,Age,Gender,Q24,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you agree to participate in the research study described above?,How do you feel about spending money on each of the following goods? - Hotel WiFi,How do you feel about spending money on each of the following goods? - In-flight WiFi,How do you feel about spending money on each of the following goods? - Parking in a downtown area,How do you feel about spending money on each of the following goods? - Hotel breakfast,How do you feel about spending money on each of the following goods? - Restaurant appetizer,How do you feel about spending money on each of the following goods? - Printer ink,How do you feel about spending money on each of the following goods? - Gas for your car,How do you feel about spending money on each of the following goods? - Perfume/cologne,Please answer the following questions about hotel WiFi. - Hotel WiFi is tangible/physically concrete.,Please answer the following questions about hotel WiFi. - I can directly see or touch hotel Wi-Fi.,"Please answer the following questions about hotel WiFi. - Paying for hotel Wi-Fi feels like an unavoidable requirement, not a free choice.",Please answer the following questions about hotel WiFi. - I feel like I have no real choice but to pay for hotel Wi-Fi in situations where I need it.,"Please answer the following questions about hotel WiFi. - Hotel Wi-Fi is something I pay for in order to enable something else, not because I value it for its own sake.","Please answer the following questions about hotel WiFi. - Hotel Wi-Fi enables me to do something, rather than being enjoyable in itself.",Please answer the following questions about in-Flight WiFi. - In-Flight WiFi is tangible/physically concrete.,Please answer the following questions about in-Flight WiFi. - I can directly see or touch in-flight Wi-Fi.,"Please answer the following questions about in-Flight WiFi. - Paying for in-flight Wi-Fi feels like an unavoidable requirement, not a free choice.",Please answer the following questions about in-Flight WiFi. - I feel like I have no real choice but to pay for in-flight Wi-Fi in situations where I need it.,"Please answer the following questions about in-Flight WiFi. - In-flight Wi-Fi is something I pay for in order to enable something else, not because I value it for its own sake.","Please answer the following questions about in-Flight WiFi. - In-flight Wi-Fi enables me to do something, rather than being enjoyable in itself.",Please answer the following questions about parking in a downtown area. - Parking in a downtown area is tangible/physically concrete.,Please answer the following questions about parking in a downtown area. - I can directly see or touch parking in a downtown area.,"Please answer the following questions about parking in a downtown area. - Paying for parking in a downtown area feels like an unavoidable requirement, not a free choice.",Please answer the following questions about parking in a downtown area. - I feel like I have no real choice but to pay for parking in a downtown area in situations where I need it.,"Please answer the following questions about parking in a downtown area. - Parking in a downtown area is something I pay for in order to enable something else, not because I value it for its own sake.","Please answer the following questions about parking in a downtown area. - Parking in a downtown area enables me to do something, rather than being enjoyable in itself.",Please answer the following questions about hotel breakfast. - Hotel breakfast is tangible/physically concrete.,Please answer the following questions about hotel breakfast. - I can directly see or touch hotel breakfast.,"Please answer the following questions about hotel breakfast. - Paying for hotel breakfast feels like an unavoidable requirement, not a free choice.",Please answer the following questions about hotel breakfast. - I feel like I have no real choice but to pay for hotel breakfast in situations where I need it.,"Please answer the following questions about hotel breakfast. - Hotel breakfast is something I pay for in order to enable something else, not because I value it for its own sake.","Please answer the following questions about hotel breakfast. - Hotel breakfast enables me to do something, rather than being enjoyable in itself.",Please answer the following questions about a restaurant appetizer - A restaurant appetizer is tangible/physically concrete.,Please answer the following questions about a restaurant appetizer - I can directly see or touch a restaurant appetizer.,"Please answer the following questions about a restaurant appetizer - Paying for a restaurant appetizer feels like an unavoidable requirement, not a free choice.",Please answer the following questions about a restaurant appetizer - I feel like I have no real choice but to pay for a restaurant appetizer in situations where I need it.,"Please answer the following questions about a restaurant appetizer - A restaurant appetizer is something I pay for in order to enable something else, not because I value it for its own sake.","Please answer the following questions about a restaurant appetizer - A restaurant appetizer enables me to do something, rather than being enjoyable in itself.",Please answer the following questions about printer ink. - Printer ink is tangible/physically concrete.,Please answer the following questions about printer ink. - I can directly see or touch printer ink.,"Please answer the following questions about printer ink. - Paying for printer ink feels like an unavoidable requirement, not a free choice.",Please answer the following questions about printer ink. - I feel like I have no real choice but to pay for printer ink in situations where I need it.,"Please answer the following questions about printer ink. - Printer ink is something I pay for in order to enable something else, not because I value it for its own sake.","Please answer the following questions about printer ink. - Printer ink enables me to do something, rather than being enjoyable in itself.",Please answer the following questions about car gas. - Car gas is tangible/physically concrete.,Please answer the following questions about car gas. - I can directly see or touch car gas.,"Please answer the following questions about car gas. - Paying for car gas feels like an unavoidable requirement, not a free choice.",Please answer the following questions about car gas. - I feel like I have no real choice but to pay for car gas in situations where I need it.,"Please answer the following questions about car gas. - Car gas is something I pay for in order to enable something else, not because I value it for its own sake.","Please answer the following questions about car gas. - Car gas enables me to do something, rather than being enjoyable in itself.",Please answer the following questions about perfume/cologne. - Perfume/cologne is tangible/physically concrete.,Please answer the following questions about perfume/cologne. - I can directly see or touch perfume/cologne.,"Please answer the following questions about perfume/cologne. - Paying for perfume/cologne feels like an unavoidable requirement, not a free choice.",Please answer the following questions about perfume/cologne. - I feel like I have no real choice but to pay for perfume/cologne in situations where I need it.,"Please answer the following questions about perfume/cologne. - Perfume/cologne  is something I pay for in order to enable something else, not because I value it for its own sake.","Please answer the following questions about perfume/cologne. - Perfume/cologne enables me to do something, rather than being enjoyable in itself.",Please respond truthfully to the items below. - Have you ever been bitten by an insect?,Please respond truthfully to the items below. - Have you ever been bitten by a dog?,Please respond truthfully to the items below. - Have you ever been bitten by a great white shark?,Please respond truthfully to the items below. - Have you ever suffered a fatal heart attack?,Please respond truthfully to the items below. - Are you human?,How old are you?,What is your gender?,Please feel free to write any comments you may have about the survey or scenario.,PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID42_3""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID42_5""}","{""ImportId"":""QID42_6""}","{""ImportId"":""QID42_7""}","{""ImportId"":""QID42_8""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID43_5""}","{""ImportId"":""QID43_6""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID44_6""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_4""}","{""ImportId"":""QID50_5""}","{""ImportId"":""QID50_6""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_5""}","{""ImportId"":""QID45_6""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID46_4""}","{""ImportId"":""QID46_5""}","{""ImportId"":""QID46_6""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID47_5""}","{""ImportId"":""QID47_6""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2026-06-21 23:13:18,2026-06-21 23:19:26,1,,100,367,1,2026-06-21 23:19:26,R_12LTTJbluT829qi,,,,,40.8231,-73.9513,preview,EN,1,2,2,2,4,4,2,2,3,1,1,3,4,5,5,1,1,3,4,5,5,2,2,4,4,4,4,5,5,2,3,3,3,5,5,1,1,1,1,3,3,4,4,5,5,2,2,5,5,2,2,4,4,1,1,1,1,2,2,2,2,1,33,2,test,,,
2026-06-22 06:32:40,2026-06-22 06:35:13,0,172.56.117.41,100,153,1,2026-06-22 06:35:14,R_5rBYg8lCXcaGJX3,,,,,41.8233,-71.441,anonymous,EN,1,3,2,3,3,4,3,4,4,3,3,3,4,3,3,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,1,1,2,2,1,29,1,,63197f9b80d9c0d22597a837,6a38c421cb373274341540ff,6a392b615c9b7cff7ab898d3
2026-06-22 06:32:39,2026-06-22 06:35:39,0,174.229.17.172,100,180,1,2026-06-22 06:35:40,R_32mevfByGaztHDG,,,,,33.5433,-86.7524,anonymous,EN,1,1,2,2,1,2,4,3,2,1,1,1,1,5,5,1,1,1,1,5,5,1,1,4,4,5,5,5,5,1,4,1,3,5,5,1,1,1,1,5,5,5,4,5,5,5,3,5,5,5,5,5,5,1,1,1,1,1,1,2,2,1,33,2,,6a1dd1e8a95f39863a804a19,6a38c421cb373274341540ff,6a392b5be94332b2bb8581d4
2026-06-22 06:32:32,2026-06-22 06:35:44,0,24.124.62.3,100,191,1,2026-06-22 06:35:44,R_3zou6lMGKYY6kUL,,,,,44.9007,-93.5773,anonymous,EN,1,1,3,3,3,5,2,2,1,4,4,3,3,3,4,3,3,3,4,4,3,2,2,2,2,2,2,3,3,3,3,3,3,5,5,2,2,2,2,4,4,5,4,4,4,3,3,3,4,2,4,4,4,3,4,3,4,1,1,2,2,1,30,1,,69c92c6be5cee2b6071ee0c0,6a38c421cb373274341540ff,6a392b589917b15fdf790c95
2026-06-22 06:32:37,2026-06-22 06:35:51,0,70.110.143.119,100,194,1,2026-06-22 06:35:52,R_3rV0r3Eoifj9Myz,,,,,40.0364,-75.2219,anonymous,EN,1,1,3,2,1,4,1,3,4,1,1,1,2,3,4,1,1,2,3,2,3,5,5,3,3,4,5,5,5,1,1,1,1,5,5,1,1,1,1,5,5,4,4,4,2,5,5,5,5,4,5,5,5,1,1,1,1,1,2,2,2,1,48,2,,586ad3a6da731b0001049cad,6a38c421cb373274341540ff,6a392b5f61ec9f969b19c515
2026-06-22 06:33:07,2026-06-22 06:36:18,0,63.143.161.164,100,191,1,2026-06-22 06:36:18,R_6K7POFC1GbiqW9S,,,,,35.3596,-82.4266,anonymous,EN,1,1,1,2,2,2,1,3,1,1,1,3,5,5,5,1,1,1,3,5,5,2,2,5,5,5,5,5,5,3,4,4,4,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,2,2,1,39,1,,6a135fba3e496a351fed6ec5,6a38c421cb373274341540ff,6a392b7d31271419a26b72b7
2026-06-22 06:32:36,2026-06-22 06:36:39,0,172.56.252.88,100,242,1,2026-06-22 06:36:39,R_3bP2LwSflaSZlLX,,,,,39.7914,-86.2675,anonymous,EN,1,1,1,3,1,1,4,2,3,1,1,2,1,2,3,1,1,3,2,4,3,2,4,4,4,5,5,4,4,2,2,2,2,4,4,2,2,3,2,5,5,4,5,5,5,4,5,5,5,5,5,5,5,2,2,2,3,1,2,2,2,1,48,2,,6a0b421f9b0cca5f6cd73022,6a38c421cb373274341540ff,6a392b5ec698add6e734a843
2026-06-22 06:33:03,2026-06-22 06:36:44,0,99.56.247.237,100,220,1,2026-06-22 06:36:45,R_5NtraxoyX9QMNSJ,,,,,35.401,-80.8688,anonymous,EN,1,3,3,3,3,3,3,3,4,1,1,1,4,5,5,1,1,2,5,5,5,1,1,4,5,5,5,5,5,1,4,1,1,5,5,1,3,2,2,5,5,4,5,5,5,5,1,5,5,5,5,5,5,1,2,1,1,1,1,2,2,1,46,2,,5f29aed2c46fc6118f5980c3,6a38c421cb373274341540ff,6a392b776e9323069064ac06
