term,Value,Std. Error,p_value
f_makes_life_more_convenient,-0.498,0.162,p=0.002
f_have_choice,-0.509,0.154,p<.001
f_expect_free,-0.134,0.161,p=0.408
f_too_high,1.087,0.183,p<.001
f_can_hold_touch,-0.212,0.141,p=0.131
f_use_long_period,0.044,0.14,p=0.75
f_budget_strain,0.915,0.172,p<.001
f_worthless_alone,0.183,0.156,p=0.24
1|1.33333333333333,-2.889,0.279,p<.001
1.33333333333333|1.66666666666667,-2.519,0.254,p<.001
1.66666666666667|2,-2.094,0.228,p<.001
2|2.33333333333333,-1.628,0.206,p<.001
2.33333333333333|2.66666666666667,-1.514,0.201,p<.001
2.66666666666667|3,-0.886,0.181,p<.001
3|3.33333333333333,-0.332,0.171,p=0.053
3.33333333333333|3.66666666666667,0.182,0.17,p=0.284
3.66666666666667|4,0.728,0.176,p<.001
4|4.33333333333333,1.143,0.185,p<.001
4.33333333333333|4.66666666666667,1.559,0.198,p<.001
4.66666666666667|5,2.013,0.217,p<.001
5|5.33333333333333,2.749,0.256,p<.001
5.33333333333333|5.66666666666667,3.125,0.282,p<.001
5.66666666666667|6,4.206,0.389,p<.001
6|6.33333333333333,4.842,0.491,p<.001
6.33333333333333|6.66666666666667,6.505,1.021,p<.001
