"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330743657848652,0.0183370145382328,-0.0740712457856994,-0.00438998978992118,0.0692737371252394,0.868752365797636,"factor anaysis",,,,,,,
"expensive",-0.0140404643989219,-0.0404233933437392,0.081601584752812,-0.0167484168054707,-0.0645816475748072,0.798858855482263,"factor anaysis",,,,,,,
"worthless_alone",-0.0176763615786028,0.00114667333370782,-0.0281582300269711,0.019526333734569,1.00188329928084,0.0283526071973747,"factor anaysis",,,,,,,
"value_with_others",0.0420922619004107,0.0168936782682784,0.108043705363961,-0.0364102401547316,0.721530778372882,-0.0504112161406519,"factor anaysis",,,,,,,
"have_choice",-0.81538504621469,-0.0179908703965605,0.0549318171397582,-0.0465441957663788,0.0327302484791171,-0.0139659898630294,"factor anaysis",,,,,,,
"have_other_options",-0.649985845080019,0.0932083989836796,-0.0196737904998369,0.0251903001065024,-0.0520292168247543,0.191139159178934,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739553423827,0.0273026310075684,-0.0386416666375272,-0.109063017175455,0.135986930349316,-0.0200598037429186,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408266983517,0.0561895654748536,0.0280379380852289,0.0112323924045172,-0.0413354617394901,0.0858253548541845,"factor anaysis",,,,,,,
"cant_control_timing",0.722879650592293,0.0237495341682157,0.0834123270620798,-0.0209211026341054,-0.0129216666933299,0.071118896155954,"factor anaysis",,,,,,,
"can_hold_touch",0.0203796827772668,-0.0614060093662167,-0.0177851923692098,0.800482702717706,-0.0258078597597707,-0.0666765677569273,"factor anaysis",,,,,,,
"physical_product",-0.00972052705896511,0.0281085953633086,0.0182451924011699,1.00383750208879,0.0195820906902442,0.0249679086620238,"factor anaysis",,,,,,,
"use_long_period",-0.0421806611373967,0.0334998675611659,0.852353023694036,-0.0109598752475306,0.00982926268426302,0.00962631398778759,"factor anaysis",,,,,,,
"lasts_a_while",0.0304978848108305,-0.0222175306050253,0.98950481282882,0.0173500508305986,0.00517503679147818,-0.0106520923965967,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426413501943195,0.603584715430691,0.0338805588022286,-0.0961123640253889,-0.0155887059355733,-0.0935293176010852,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.14681868631578,0.52074102371434,0.0609069663751859,-0.0161399822271718,0.0492677224105277,0.0533782722071301,"factor anaysis",,,,,,,
