"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330728736873844,0.0183366075850216,-0.0740717686321356,-0.00438956477214775,0.0692715552356625,0.868752874035589,"factor anaysis",,,,,,,
"expensive",-0.0140418136032006,-0.0404237583412302,0.0816011470356191,-0.0167480601449745,-0.0645835703389386,0.798859307910379,"factor anaysis",,,,,,,
"worthless_alone",-0.0176766102326555,0.00114677412220583,-0.0281585362142595,0.0195262293761739,1.00188317569693,0.0283531496191536,"factor anaysis",,,,,,,
"value_with_others",0.0420922096392382,0.0168938125032259,0.108043558421858,-0.0364103537404044,0.721530902623395,-0.0504108736507834,"factor anaysis",,,,,,,
"have_choice",-0.81538524636653,-0.0179905456191285,0.0549315474728253,-0.0465446607095324,0.0327306406932421,-0.0139658636709656,"factor anaysis",,,,,,,
"have_other_options",-0.649986341331109,0.0932085180575016,-0.0196741511551977,0.0251900036664027,-0.0520295091553319,0.191139326674891,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739704159119,0.0273025244942793,-0.038641447389957,-0.109062670818537,0.135986809697914,-0.0200599155103425,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408322586933,0.0561892602204573,0.0280381507978891,0.0112328298566895,-0.0413359837098782,0.0858252660444108,"factor anaysis",,,,,,,
"cant_control_timing",0.72287971562517,0.023749275954229,0.0834125454997867,-0.0209206982418031,-0.012922088184817,0.0711188245698875,"factor anaysis",,,,,,,
"can_hold_touch",0.0203799466165745,-0.0614066008340991,-0.0177853413458404,0.800482585706202,-0.0258083332775119,-0.0666761858548245,"factor anaysis",,,,,,,
"physical_product",-0.0097204159914524,0.0281078380677357,0.0182448868487061,1.00383733165701,0.0195812030753975,0.024968466595644,"factor anaysis",,,,,,,
"use_long_period",-0.0421806824113881,0.0334999383556236,0.852353016167701,-0.0109601635685425,0.00982940773546129,0.00962652971511972,"factor anaysis",,,,,,,
"lasts_a_while",0.0304979334572129,-0.0222174972036338,0.989504855472148,0.0173497668342232,0.00517523079735094,-0.0106518386107336,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426413041001717,0.603584929073738,0.0338804619930195,-0.0961126287179861,-0.0155886251555975,-0.0935295669264296,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146818905064038,0.520741142170876,0.0609067305648341,-0.0161402374427397,0.0492674502687693,0.0533782274167443,"factor anaysis",,,,,,,
"expect_free",-0.0183282618705408,0.955530154455993,-0.0291157477788289,0.0345737123937488,-0.00200268412790856,-0.00109343220891496,"factor anaysis",,,,,,,
"should_be_free",0.174674785806843,0.716563365125258,0.0239629907375373,-0.0461109651681852,0.0331023553868901,0.0144869535999146,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
