"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330742469070976,0.018337770708938,-0.0740711024028901,-0.0043899629806179,0.0692730992362789,0.868752386122792,"factor anaysis",,,,,,,
"expensive",-0.014040470131971,-0.0404227426832477,0.0816018496543248,-0.0167483689336845,-0.0645822086872621,0.798858874959571,"factor anaysis",,,,,,,
"worthless_alone",-0.0176769961660897,0.00114673308370954,-0.0281587281116109,0.0195262215705616,1.00188349366226,0.0283525131718172,"factor anaysis",,,,,,,
"value_with_others",0.0420917960082656,0.0168936315766245,0.10804325198652,-0.036410324553525,0.721530886615899,-0.0504112934980036,"factor anaysis",,,,,,,
"have_choice",-0.815385430403921,-0.01799064484178,0.0549325073998947,-0.046544093214417,0.0327314586441389,-0.0139659016020159,"factor anaysis",,,,,,,
"have_other_options",-0.649986138937116,0.0932087536388995,-0.0196731807844765,0.0251904027964341,-0.0520284174631992,0.191139270957209,"factor anaysis",,,,,,,
"no_real_alternatives",0.63373962551974,0.0273025115717654,-0.0386423610286101,-0.109063113431101,0.135986080009471,-0.0200598901687945,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408585910632,0.0561894119624517,0.0280372822496018,0.0112323068857379,-0.0413366486677056,0.0858252814721897,"factor anaysis",,,,,,,
"cant_control_timing",0.722879935068452,0.0237493735068697,0.0834116930896047,-0.0209211859892662,-0.012922777213161,0.0711188147696417,"factor anaysis",,,,,,,
"can_hold_touch",0.0203804014455276,-0.0614064957615802,-0.017784862036252,0.800482682381693,-0.0258080557812903,-0.066676561150207,"factor anaysis",,,,,,,
"physical_product",-0.00971974210869343,0.0281080924497764,0.0182455817684363,1.0038374877925,0.0195818257828172,0.0249679422389148,"factor anaysis",,,,,,,
"use_long_period",-0.042180624569126,0.0334996114005023,0.852353038900046,-0.0109598350905021,0.00982922147009149,0.00962630427494653,"factor anaysis",,,,,,,
"lasts_a_while",0.0304980283525299,-0.0222178952162616,0.989504802841336,0.0173500829611198,0.00517487883787153,-0.0106521264327169,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426417960514848,0.603584786987675,0.0338802188081867,-0.0961123242615052,-0.0155885536339197,-0.0935291793009812,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146819109552379,0.520741186367828,0.0609067979251356,-0.0161399344952441,0.0492679102528458,0.0533784036030591,"factor anaysis",,,,,,,
"expect_free",-0.0183286887613023,0.955530198206244,-0.0291159483297818,0.0345740985488603,-0.00200223042105439,-0.00109298332780948,"factor anaysis",,,,,,,
"should_be_free",0.174674462551571,0.71656339070695,0.0239625622521705,-0.0461108051172114,0.0331024720672904,0.0144872900241336,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.002,399,"p=0.974",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.34,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_overpriced",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.134,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.141,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",0.003,399,"p=0.959",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.203,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_overpriced",-0.142,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.278,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.099,399,"p=0.048",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.028,399,"p=0.575",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.306,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.152,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_f_overpriced",-0.163,399,"p=0.001",,,
,,,,,,,"factor score correlations","f_physical_product_ln_typ_charge",-0.09,399,"p=0.073",,,
,,,,,,,"factor score correlations","f_physical_product_ln_disutility",-0.154,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_like_1",0.186,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_value_1",0.04,399,"p=0.423",,,
,,,,,,,"factor score correlations","f_worthless_alone_f_overpriced",0.067,399,"p=0.183",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.021,399,"p=0.672",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.029,399,"p=0.566",,,
,,,,,,,"factor score correlations","f_worthless_alone_like_1",-0.115,399,"p=0.021",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",0.014,399,"p=0.784",,,
,,,,,,,"factor score correlations","f_overpriced_ln_typ_charge",0.474,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_ln_disutility",0.553,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_like_1",-0.35,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_value_1",-0.373,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.752,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_like_1",-0.289,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",-0.046,399,"p=0.356",,,
,,,,,,,"factor score correlations","ln_disutility_like_1",-0.411,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",-0.26,399,"p<.001",,,
,,,,,,,"factor score correlations","like_1_value_1",0.476,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_neg_have_choice",0.468,0.12
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.482,0.127
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.275","f_lasts_a_while",-0.131,0.12
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.127","f_physical_product",-0.167,0.109
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.243","f_worthless_alone",-0.139,0.119
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_overpriced",1.813,0.171
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","value_1",-0.422,0.073
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","purchased",-0.96,0.233
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.069","ln_disutility",0.135,0.074
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","ln_typ_charge",0.34,0.102
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.231,
