"term","Value","Std. Error","p_value","analysis"
"f_makes_life_more_convenient",-0.498,0.162,"p=0.002","pooled_all"
"f_have_choice",-0.509,0.154,"p<.001","pooled_all"
"f_expect_free",-0.134,0.161,"p=0.408","pooled_all"
"f_too_high",1.087,0.183,"p<.001","pooled_all"
"f_can_hold_touch",-0.212,0.141,"p=0.131","pooled_all"
"f_use_long_period",0.044,0.14,"p=0.75","pooled_all"
"f_budget_strain",0.915,0.172,"p<.001","pooled_all"
"f_worthless_alone",0.183,0.156,"p=0.24","pooled_all"
"f_neg_have_choice",1.066,0.147,"p<.001","RE_FAonAllProds"
"f_makes_life_more_convenient",-0.244,0.135,"p=0.07","RE_FAonAllProds"
"f_expect_free",0.199,0.134,"p=0.14","RE_FAonAllProds"
"f_too_high",1.545,0.163,"p<.001","RE_FAonAllProds"
"f_can_hold_touch",-0.402,0.114,"p<.001","RE_FAonAllProds"
"f_budget_strain",1.638,0.169,"p<.001","RE_FAonAllProds"
"f_use_long_period",0.128,0.119,"p=0.281","RE_FAonAllProds"
"f_purchase_regularly",-0.676,0.149,"p<.001","RE_FAonAllProds"
"f_worthless_alone",-0.016,0.133,"p=0.906","RE_FAonAllProds"
"f_roughly_the_same_anywhere",-0.347,0.14,"p=0.013","RE_FAonAllProds"
"f_neg_have_choice",0.329,0.109,"p=0.003","RE_FAonProd1"
"f_expensive",2.283,0.164,"p<.001","RE_FAonProd1"
"f_makes_life_more_convenient",-0.344,0.119,"p=0.004","RE_FAonProd1"
"f_expect_free",0.412,0.118,"p<.001","RE_FAonProd1"
"f_lasts_a_while",0.158,0.101,"p=0.118","RE_FAonProd1"
"f_can_hold_touch",-0.249,0.105,"p=0.017","RE_FAonProd1"
"f_value_with_others",-0.115,0.113,"p=0.309","RE_FAonProd1"
