pair,r,df,p_value
painful_1_f_expectfree,-0.238,198,p<.001
painful_1_f_complementary,-0.175,198,p=0.013
painful_1_f_budget_strain,0.131,198,p=0.064
painful_1_f_convenience,0.591,198,p<.001
painful_1_f_longlasting,-0.044,198,p=0.534
painful_1_f_choice,-0.049,198,p=0.487
painful_1_f_tangible,0.497,198,p<.001
painful_1_f_overpriced,0.175,198,p=0.013
f_expectfree_f_complementary,-0.324,198,p<.001
f_expectfree_f_budget_strain,0.128,198,p=0.071
f_expectfree_f_convenience,-0.265,198,p<.001
f_expectfree_f_longlasting,-0.006,198,p=0.928
f_expectfree_f_choice,0.257,198,p<.001
f_expectfree_f_tangible,-0.067,198,p=0.347
f_expectfree_f_overpriced,0.076,198,p=0.283
f_complementary_f_budget_strain,-0.285,198,p<.001
f_complementary_f_convenience,-0.077,198,p=0.282
f_complementary_f_longlasting,0.186,198,p=0.008
f_complementary_f_choice,-0.138,198,p=0.051
f_complementary_f_tangible,0.009,198,p=0.901
f_complementary_f_overpriced,-0.148,198,p=0.037
f_budget_strain_f_convenience,0.204,198,p=0.004
f_budget_strain_f_longlasting,-0.103,198,p=0.146
f_budget_strain_f_choice,-0.005,198,p=0.945
f_budget_strain_f_tangible,0.165,198,p=0.019
f_budget_strain_f_overpriced,0.458,198,p<.001
f_convenience_f_longlasting,0.029,198,p=0.685
f_convenience_f_choice,-0.174,198,p=0.014
f_convenience_f_tangible,0.426,198,p<.001
f_convenience_f_overpriced,0.236,198,p<.001
f_longlasting_f_choice,0.184,198,p=0.009
f_longlasting_f_tangible,0.153,198,p=0.031
f_longlasting_f_overpriced,0.087,198,p=0.223
f_choice_f_tangible,0.098,198,p=0.166
f_choice_f_overpriced,0.021,198,p=0.766
f_tangible_f_overpriced,0.14,198,p=0.048
