"item","f_neg_have_choice","f_expect_free","f_makes_life_more_convenient","f_lasts_a_while","f_can_hold_touch","f_value_with_others","analysis","pair","r","df","p_value","term","Value","Std. Error"
"worthless_alone",0.0207670000573216,0.142194227089093,-0.0857442307935549,-0.00912740963179749,0.00547309139001145,0.704361246014834,"factor anaysis",,,,,,,
"value_with_others",0.010119457413769,-0.0434722311976684,0.0306308018937163,0.021726948797109,-0.0116638812200263,1.0023842678255,"factor anaysis",,,,,,,
"should_come_included",0.0972787120639396,0.597985067056874,0.0343325235882039,0.0548913074228837,-0.0277478422912652,0.098094802273446,"factor anaysis",,,,,,,
"have_choice",-0.791996359094312,0.0138856026103461,-0.0447065787950285,0.0717516280854249,-0.0437472654013372,-0.0530317025196342,"factor anaysis",,,,,,,
"have_other_options",-0.642316128646432,0.0761737337274527,0.0345758404480518,-0.0623846402479875,-0.0048388508523713,0.00943607928952394,"factor anaysis",,,,,,,
"no_real_alternatives",0.680998244700587,0.0766154682849812,-0.104461054768604,-0.0325311393135166,-0.0259094696763567,0.0655429778116741,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.72801056202511,0.058804895373615,0.0997960821160782,0.0189847142140315,-0.0483468421863787,-0.0346346524838256,"factor anaysis",,,,,,,
"cant_control_timing",0.70694984553084,0.0357320504512975,0.0487729379094627,0.0742529415948892,-0.0394715360808927,-0.0123391999160447,"factor anaysis",,,,,,,
"can_hold_touch",0.0366526007175769,-0.00989482914534402,-0.032787545463395,-0.0136679034424389,0.998765537294746,-0.0117969712064951,"factor anaysis",,,,,,,
"physical_product",-0.0790603124339733,0.0133487224527196,0.0583480418014115,0.0545532015295688,0.805983840213067,0.0058420660170665,"factor anaysis",,,,,,,
"use_long_period",-0.0568798573733948,0.0253399634475238,0.0232052649222535,0.846312980272829,-0.0213591567061871,0.0306765221529581,"factor anaysis",,,,,,,
"lasts_a_while",0.0317638360247414,-0.0125521632921146,-0.0148003629486183,0.993159224781284,0.0284864554661111,-0.00173178398484846,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0668572250480338,0.635807550995942,-0.0145845261268869,0.0496299766168619,-0.0730128919713427,-0.0720284777144086,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.167046501195977,0.517217680016985,-0.028709113911815,0.0548503101346571,-0.114136503886955,0.0491724680765623,"factor anaysis",,,,,,,
"expect_free",-0.043137139633922,0.903842849771465,0.0161015690511613,-0.0517962986240768,0.0325376808042381,0.0371565111263911,"factor anaysis",,,,,,,
"should_be_free",0.157454566920363,0.797544069926223,0.0033842970498159,0.0204467974813185,-0.00293043412756389,-0.0395179193040507,"factor anaysis",,,,,,,
"saves_time",-0.0982535812694044,0.0570020847867907,0.804260773064922,-0.0819095584118611,0.0578125971601274,0.0754358390763366,"factor anaysis",,,,,,,
"makes_life_easier",0.093548299952658,0.0176516817821962,0.836176611840883,0.0319735719363268,-0.0277757535485437,-0.0517301506557879,"factor anaysis",,,,,,,
"makes_life_more_convenient",0.0248793681313324,-0.0371255837031656,0.925162973220387,0.0319694288455781,-0.02234374526605,-0.0093552943551383,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.242,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.256,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_makes_life_more_convenient",-0.169,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.056,399,"p=0.26",,,
,,,,,,,"factor score correlations","painful_1_f_can_hold_touch",-0.282,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_value_with_others",0.032,399,"p=0.52",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.315,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_makes_life_more_convenient",0.365,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_can_hold_touch",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_value_with_others",0.12,399,"p=0.016",,,
,,,,,,,"factor score correlations","f_expect_free_f_makes_life_more_convenient",0.127,399,"p=0.011",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.001,399,"p=0.981",,,
,,,,,,,"factor score correlations","f_expect_free_f_can_hold_touch",-0.375,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_value_with_others",0.224,399,"p<.001",,,
,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_lasts_a_while",0.061,399,"p=0.22",,,
,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_can_hold_touch",-0.079,399,"p=0.113",,,
,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_value_with_others",-0.07,399,"p=0.16",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_can_hold_touch",0.039,399,"p=0.439",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_value_with_others",0.247,399,"p<.001",,,
,,,,,,,"factor score correlations","f_can_hold_touch_f_value_with_others",-0.163,399,"p=0.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_neg_have_choice",0.641,0.104
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.001","f_expect_free",0.339,0.104
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_makes_life_more_convenient",-0.717,0.102
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.194","f_lasts_a_while",-0.121,0.093
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_can_hold_touch",-0.352,0.097
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.41","f_value_with_others",-0.084,0.101
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.054,
