"item","f_neg_have_choice","f_makes_life_more_convenient","f_overpriced","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"too_high",-0.0304151220477686,-0.0184288254683449,0.758931103214538,0.0987004333770129,-0.0856636479828108,0.0344020859720535,0.164004264580218,"factor anaysis",,,,,,,
"overpriced",0.0635716611933835,-0.07689481265882,0.85157998013046,-0.000394789387789982,-0.0671909452675572,-0.0178583296569462,0.0296962699844167,"factor anaysis",,,,,,,
"expensive",-0.0195350365239936,0.00860645560429021,0.818799568843471,-0.0561300207124373,0.0936028981100644,-0.0335320956694291,-0.11018165640394,"factor anaysis",,,,,,,
"worthless_alone",0.00103364751698173,-0.0175463175665563,0.0516447747065558,0.0169251500849667,-0.017674201138101,0.0228867465858091,0.897485984641944,"factor anaysis",,,,,,,
"value_with_others",0.0219127423667256,0.0363408238883346,-0.0401412241550481,-0.0217142072546141,0.0826911087503545,-0.0371981725541483,0.817511493329454,"factor anaysis",,,,,,,
"have_choice",-0.778911278474501,-0.0566256601449968,-0.0313860142224544,-0.0249931853183203,0.05637139124749,-0.046233666206879,0.0090242699847227,"factor anaysis",,,,,,,
"have_other_options",-0.686745165099097,0.0788678494235361,0.20364221524466,0.0605243524636076,-0.0204129207868136,0.00854396060467169,-0.0328929796772116,"factor anaysis",,,,,,,
"no_real_alternatives",0.682052761382365,-0.0969243433546398,-0.0370860041700752,0.0461665851351457,-0.0388043423813492,-0.0959158070646445,0.118968820705441,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.701528795294086,0.144946999442444,0.122344137012614,0.0573326917415743,0.0314615852959439,0.00368110674055705,-0.0450699750413017,"factor anaysis",,,,,,,
"cant_control_timing",0.686719697596918,0.0854068818065899,0.0942526036794923,0.0281827400881464,0.0845843295861648,-0.0233479245110361,-0.013527113741635,"factor anaysis",,,,,,,
"can_hold_touch",0.0538012393937386,-0.0919563774887465,-0.0982268746715539,-0.0454130410516881,-0.0164342897796838,0.808564940463185,-0.0357653840512099,"factor anaysis",,,,,,,
"physical_product",-0.0294509249499933,0.0419982518296331,0.0446198449205625,0.0139925417324295,0.0229807621225046,0.997925492477768,0.0164563514274385,"factor anaysis",,,,,,,
"use_long_period",-0.0550610008792696,0.0198188752809981,-0.00298083801969039,0.0368374114210952,0.847104592549432,-0.0107937058572715,0.0312314978864164,"factor anaysis",,,,,,,
