"item","f_neg_have_choice","f_overpriced","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"too_high",-0.024994932796547,0.76906991523996,0.100754726709852,-0.0684956947268632,0.0362064601230105,0.13479705478428,"factor anaysis",,,,,,,
"overpriced",0.0455665570267628,0.869144267324136,-0.0135588578877181,-0.0561565242756637,-0.0192728821881942,0.0277823070563955,"factor anaysis",,,,,,,
"expensive",-0.00732311756184692,0.822084742003671,-0.0661860580620835,0.101806415510142,-0.0292579815223974,-0.107674927745222,"factor anaysis",,,,,,,
"worthless_alone",-0.0140513955964285,0.0284284808005259,-0.00550843477381953,-0.0209935020976311,0.015213432056276,1.00038179984197,"factor anaysis",,,,,,,
"value_with_others",0.0397640469461208,-0.0416220886572992,0.0222286545794958,0.114180810436789,-0.0372148775900922,0.720506411302064,"factor anaysis",,,,,,,
"have_choice",-0.814937204034798,-0.0125976113386504,-0.0214057553051006,0.0569386739805528,-0.0497035769658743,0.0362734160473546,"factor anaysis",,,,,,,
"have_other_options",-0.646504313745158,0.192164194692864,0.0826047007696664,-0.0134596624982223,0.0185141904322209,-0.0588029632034918,"factor anaysis",,,,,,,
"no_real_alternatives",0.637730546030207,-0.0115568781347105,0.019494788748741,-0.0392936728367679,-0.107598415440783,0.136143112035438,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.766567226881274,0.0688465749578946,0.0508400999504426,0.0241309870328142,0.0117095432819234,-0.0421298924768295,"factor anaysis",,,,,,,
"cant_control_timing",0.728701238018951,0.0693715234511417,0.0144201378966938,0.0813140934429813,-0.019887242746633,-0.0149334702104371,"factor anaysis",,,,,,,
"can_hold_touch",0.0173739403304546,-0.0710285316298426,-0.0529691182146049,-0.0187310699056368,0.802432893609949,-0.0262327080376804,"factor anaysis",,,,,,,
"physical_product",-0.00645199908036059,0.0284034474445851,0.0208205220089011,0.0207530564620023,1.00212720314755,0.0164272875142038,"factor anaysis",,,,,,,
"use_long_period",-0.0431296138329442,-0.00394358738488434,0.0391256835355501,0.84996868072496,-0.0100739551452113,0.0156699937798702,"factor anaysis",,,,,,,
"lasts_a_while",0.0273932439286607,-0.00315065682612354,-0.0200592422299893,0.989827963860982,0.0188264998591833,0.00924686583554128,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0399864598454037,-0.091576963123786,0.587421767670084,0.0365754598487525,-0.102446081514659,-0.00357615230753615,"factor anaysis",,,,,,,
"expect_free",-0.03290683701886,0.0024540155583978,0.982298646227591,-0.0152038345017237,0.0287197416359431,-0.0084012181580376,"factor anaysis",,,,,,,
"should_be_free",0.170862945148698,0.0324053652022915,0.69749003619102,0.0339825503888714,-0.0557294816028018,0.036498163685172,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.701,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.232,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.058,399,"p=0.247",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.242,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.054,399,"p=0.279",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.121,399,"p=0.015",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.28,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.235,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.114,399,"p=0.023",,,
,,,,,,,"factor score correlations","f_overpriced_f_expect_free",0.137,399,"p=0.006",,,
,,,,,,,"factor score correlations","f_overpriced_f_lasts_a_while",-0.163,399,"p=0.001",,,
,,,,,,,"factor score correlations","f_overpriced_f_physical_product",-0.164,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_f_worthless_alone",0.102,399,"p=0.042",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",-0.014,399,"p=0.787",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.33,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.285,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.196,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.143,399,"p=0.004",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.015","f_neg_have_choice",0.254,0.104
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_overpriced",2.364,0.161
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.01","f_expect_free",0.29,0.113
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.161","f_lasts_a_while",0.144,0.103
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.007","f_physical_product",-0.278,0.104
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.042","f_worthless_alone",-0.23,0.113
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.185,
