"item","f_unavoidable_req","f_expect_free","f_physical_product","f_expensive","f_worthless_alone","f_lasts_awhile","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",-0.0263236861288109,0.0228339567588411,0.0149635568679345,0.83721009540358,0.117266843811006,-0.0337625178596634,"factor analysis",,,,,,,
"more_expect",0.0945600463030173,0.0543947101370966,-0.026402844356793,0.79600992746567,-0.0619791819219151,0.00705193177173653,"factor analysis",,,,,,,
"expensive",-0.0735289727841283,-0.070675916124,-0.00463661611099055,0.838715664446547,-0.0412089991054315,0.0140077123808458,"factor analysis",,,,,,,
"worthless_alone",-0.0197660464859475,-0.0188048955130186,-0.0614661977643365,-0.0392373512882998,0.853644103234485,-0.0341348221476235,"factor analysis",,,,,,,
"use_withothers",0.0275121549468451,0.0484855501878418,0.038388036523673,0.0560580011388713,0.787341161498311,0.0282140640582694,"factor analysis",,,,,,,
"enable_other",0.155519038924384,-0.0140739256285075,0.0210026990093304,0.146643622306558,0.388053357808266,0.0357049334569714,"factor analysis",,,,,,,
"allows_something",0.24482317204676,0.00892932989030683,-0.0309052153094681,0.047675394741058,0.335952066708798,0.158502497136537,"factor analysis",,,,,,,
"have_choice",-0.668398308022526,0.153732304208455,0.0833754833683206,-0.0241936428397804,-0.079046330900849,0.172192502697817,"factor analysis",,,,,,,
"have_options",-0.629098784774779,0.0322933203842145,0.176529144672086,-0.0252601720867768,0.0835004973367805,0.0460841626023883,"factor analysis",,,,,,,
"cannot_control",0.685956551174314,0.112989439114197,0.0461530741421329,-0.0468483986716543,0.0327038457698152,0.0193570342896493,"factor analysis",,,,,,,
"unavoidable_req",0.766707104649421,-0.00858090811145396,0.021153140921505,0.0347992677490032,0.0558864857164856,0.0817122784310704,"factor analysis",,,,,,,
"noreal_choice",0.67165066042804,0.107427842375259,0.119004129628194,-0.00324613385646519,0.0242774080550985,0.0215502488292242,"factor analysis",,,,,,,
"hold_touch",-0.0825777813103798,-0.0576871508808602,0.82627475707769,-0.06826514822585,-0.0389317205625228,-0.00711247110767163,"factor analysis",,,,,,,
"physical_product",0.0228474224565801,-0.00896151678933561,0.956720174084956,0.0351593275237998,0.00276145142499518,-0.0172774528899457,"factor analysis",,,,,,,
"tangible_concrete",0.050953431902152,0.00714592774240254,0.842267397487709,0.000843890482265307,7.75745003827525e-05,0.025757849132157,"factor analysis",,,,,,,
"long_period",0.0814993924558168,-0.0469529631900516,-0.0571660446658801,-0.0324073949901121,-0.00964507370154514,0.826345728198075,"factor analysis",,,,,,,
"lasts_awhile",-0.0470599360833053,0.00791977521639793,0.0266593963158125,0.0127576025399602,0.00532702968719029,0.989413858569228,"factor analysis",,,,,,,
"giveaway_free",-0.092942543762681,0.751875394932467,-0.0220536249570899,-0.0785792626510684,0.0404586448551691,-0.000761403322632475,"factor analysis",,,,,,,
"usually_dontpay",-0.115745299643699,0.622617616905544,-0.108903760590353,-0.0441322865166873,0.0649763395907181,-0.00127132236125894,"factor analysis",,,,,,,
"expect_free",0.00550058302075818,0.960399311005845,0.00191157929864521,0.0175309763250112,-0.0159836768139089,-0.00767747562761526,"factor analysis",,,,,,,
"shouldbe_free",0.222943741422945,0.685545058445482,-0.0496325731609078,0.0910639529786069,0.00783516706724964,-0.0529974878612628,"factor analysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_unavoidable_req",0.218,401,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.057,401,"p=0.252",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.218,401,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expensive",0.632,401,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.242,401,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_awhile",-0.078,401,"p=0.117",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.322,401,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.454,401,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_purchased",-0.102,401,"p=0.042",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.113,401,"p=0.023",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_expect_free",0.11,401,"p=0.028",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_physical_product",-0.062,401,"p=0.216",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_expensive",0.129,401,"p=0.01",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_worthless_alone",0.311,401,"p<.001",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_lasts_awhile",0.064,401,"p=0.202",,,
,,,,,,,"factor score correlations","f_unavoidable_req_ln_typ_charge",-0.003,401,"p=0.948",,,
,,,,,,,"factor score correlations","f_unavoidable_req_ln_disutility",-0.005,401,"p=0.914",,,
,,,,,,,"factor score correlations","f_unavoidable_req_purchased",0.105,401,"p=0.034",,,
,,,,,,,"factor score correlations","f_unavoidable_req_value_1",0.211,401,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.479,401,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_expensive",-0.142,401,"p=0.004",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.327,401,"p<.001",,,
