"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.033068252578823,0.0183313123821139,-0.0740733741783734,-0.00438532644051948,0.0692675725143504,0.868755017891207,"factor anaysis",,,,,,,
"expensive",-0.0140460753497945,-0.0404286328743845,0.0815996866548734,-0.016744094555895,-0.0645872684992111,0.798861069773643,"factor anaysis",,,,,,,
"worthless_alone",-0.0176765143622047,0.00114641456953611,-0.0281584473977582,0.0195262738809849,1.00188295999535,0.0283538528958654,"factor anaysis",,,,,,,
"value_with_others",0.0420925918248044,0.0168940057788421,0.108043706198818,-0.0364106761495832,0.721531057203723,-0.0504104193876494,"factor anaysis",,,,,,,
"have_choice",-0.815384839509083,-0.0179909584694155,0.0549319539139697,-0.046544315348425,0.0327307014664407,-0.0139669852944857,"factor anaysis",,,,,,,
"have_other_options",-0.649987134074444,0.093206946991988,-0.0196742027366765,0.025191257700829,-0.0520303253356374,0.191138977005775,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739544348709,0.0273030087654623,-0.038641750537783,-0.109063106566556,0.135986890381399,-0.0200589575525534,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763407512654595,0.0561891894941689,0.0280376178260487,0.0112328755200224,-0.0413363705513393,0.0858265424314103,"factor anaysis",,,,,,,
"cant_control_timing",0.722879004639794,0.0237492687786938,0.083412056785962,-0.0209206935959998,-0.0129224328093967,0.0711199985406698,"factor anaysis",,,,,,,
"can_hold_touch",0.0203805307814026,-0.0614061970326235,-0.0177848814832905,0.800482245189998,-0.0258080227348436,-0.0666765982856904,"factor anaysis",,,,,,,
"physical_product",-0.00972028923784152,0.0281076237383399,0.0182452705347244,1.00383744633088,0.0195811283937183,0.0249683300999925,"factor anaysis",,,,,,,
"use_long_period",-0.0421808685998201,0.0334997639574066,0.852353041410517,-0.0109599485299426,0.00982924508113154,0.00962659271954709,"factor anaysis",,,,,,,
"lasts_a_while",0.0304978348984894,-0.0222175050871098,0.989504909760048,0.0173498770924297,0.00517511574270656,-0.0106518004308597,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426410970465464,0.603585345666312,0.0338805020194054,-0.0961131310291487,-0.0155879398539752,-0.0935290386135032,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146819367588266,0.520740599071926,0.0609066098824233,-0.016139957411248,0.0492674188397908,0.0533788760986305,"factor anaysis",,,,,,,
"expect_free",-0.0183286689192688,0.955529941628166,-0.0291158979666945,0.0345735973156067,-0.00200225931599855,-0.00109221820152571,"factor anaysis",,,,,,,
"should_be_free",0.174674302422765,0.716563218681408,0.0239627351175303,-0.0461110641469717,0.0331025869618752,0.0144881962244813,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.002,399,"p=0.974",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.34,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_overpriced",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.134,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.141,399,"p=0.005",,,
