"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330765870317927,0.0183399754431128,-0.0740694113214021,-0.00439186383881625,0.069274691821579,0.868751467691558,"factor anaysis",,,,,,,
"expensive",-0.0140382518362342,-0.0404207181641978,0.0816033691419312,-0.0167501709451204,-0.0645807741543886,0.798858311436934,"factor anaysis",,,,,,,
"worthless_alone",-0.0176770622778755,0.00114654328775642,-0.0281585225948206,0.019525821871642,1.00188373412434,0.0283514241338441,"factor anaysis",,,,,,,
"value_with_others",0.0420915430689222,0.0168933341560253,0.10804331956409,-0.03641044950087,0.721530926300309,-0.0504121132560677,"factor anaysis",,,,,,,
"have_choice",-0.815385498969077,-0.0179906361652983,0.0549321202145455,-0.0465444987187012,0.0327307990212464,-0.01396522805868,"factor anaysis",,,,,,,
"have_other_options",-0.649985760920052,0.0932094275768453,-0.0196731239882282,0.0251897623184045,-0.0520286921433501,0.191139568941535,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739595470328,0.0273023526746838,-0.0386420404984366,-0.109062794651698,0.135986535683436,-0.0200606917869068,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408807178767,0.0561896412183267,0.0280378057146728,0.0112325390921184,-0.0413359655716911,0.0858245147215434,"factor anaysis",,,,,,,
"cant_control_timing",0.722880148353671,0.023749524904668,0.0834121841930228,-0.0209209908547411,-0.0129221268456726,0.0711181019621756,"factor anaysis",,,,,,,
"can_hold_touch",0.0203800854984382,-0.0614064803213754,-0.0177852677030638,0.800482913957681,-0.0258079951335257,-0.0666757934111352,"factor anaysis",,,,,,,
"physical_product",-0.00971997128302468,0.0281085047038828,0.0182452929626445,1.00383757609967,0.019581956474545,0.0249686067391766,"factor anaysis",,,,,,,
"use_long_period",-0.04218071671991,0.0334998273694427,0.85235311392225,-0.0109600269150115,0.00982899680644001,0.00962634324318398,"factor anaysis",,,,,,,
"lasts_a_while",0.0304979268679447,-0.0222177655316835,0.989504864567562,0.0173499061964023,0.00517471051897675,-0.0106519960424365,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426426867763145,0.60358521162371,0.0338801469784004,-0.0961116886041078,-0.0155894329928396,-0.0935301413528977,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146819550046564,0.520741916195931,0.0609069315118729,-0.0161397542525379,0.0492673193598478,0.0533775328354078,"factor anaysis",,,,,,,
"expect_free",-0.0183297404445533,0.955531279366944,-0.0291158232615332,0.0345748379235471,-0.00200327578169559,-0.00109457340187007,"factor anaysis",,,,,,,
"should_be_free",0.174673737266085,0.716564198942871,0.0239628077440972,-0.0461102241073501,0.0331018529464508,0.0144858370031318,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
