"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330767767542327,0.0183401362896755,-0.0740700017815353,-0.0043916692831776,0.0692746078978945,0.868751414390642,"factor anaysis",,,,,,,
"expensive",-0.0140382187249409,-0.0404204152404215,0.0816027743822113,-0.0167500051639067,-0.0645808018435504,0.798858139449145,"factor anaysis",,,,,,,
"worthless_alone",-0.0176766608002813,0.00114628451027395,-0.0281582327101533,0.0195263642300003,1.00188364000577,0.0283521799031864,"factor anaysis",,,,,,,
"value_with_others",0.0420918523119751,0.0168931367559761,0.10804354480132,-0.0364101379911459,0.721530939810403,-0.0504114907008785,"factor anaysis",,,,,,,
"have_choice",-0.815385522910624,-0.0179905948430606,0.0549320417829746,-0.0465443867115735,0.0327308043352844,-0.013965053227708,"factor anaysis",,,,,,,
"have_other_options",-0.649985575327117,0.0932093825202465,-0.0196733199584569,0.0251896968277824,-0.052028662530538,0.191139715707971,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739664252731,0.0273022266089474,-0.0386420003636321,-0.109062823389118,0.135986537362445,-0.0200606068024509,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408909797612,0.0561895905673694,0.0280377979978354,0.0112323595420326,-0.0413359088992404,0.085824421142681,"factor anaysis",,,,,,,
"cant_control_timing",0.72288019950223,0.0237495184788096,0.0834121722549012,-0.020921117603465,-0.0129220629412894,0.0711180264834225,"factor anaysis",,,,,,,
"can_hold_touch",0.0203801327505796,-0.0614062641136889,-0.0177847280098564,0.800482980268504,-0.0258080698145182,-0.0666763019469247,"factor anaysis",,,,,,,
"physical_product",-0.00971967847457029,0.0281086642536106,0.0182458953653713,1.00383753473302,0.0195819365053556,0.0249681484581815,"factor anaysis",,,,,,,
"use_long_period",-0.0421805611893619,0.0335000469726657,0.852353059002195,-0.0109602984179213,0.00982944181471902,0.00962661578378634,"factor anaysis",,,,,,,
"lasts_a_while",0.0304979967810415,-0.0222174296206047,0.989504844459957,0.017349671500953,0.00517519120088337,-0.0106517899528389,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426416267243657,0.60358437994314,0.033880095420476,-0.096112671863667,-0.0155890344007837,-0.0935292888086831,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146818570584354,0.520741242907165,0.0609068415767539,-0.0161405409828235,0.0492676615358634,0.0533782915909073,"factor anaysis",,,,,,,
"expect_free",-0.0183279966497904,0.955530003669667,-0.0291158790423892,0.0345733378765376,-0.00200270427215813,-0.00109334864130062,"factor anaysis",,,,,,,
"should_be_free",0.174675048874982,0.716563233063939,0.0239627348087345,-0.0461113587897354,0.033102306507148,0.014486797319779,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
