"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.033073548937229,0.0183365134697863,-0.0740719120734583,-0.00438933585579429,0.069271517148255,0.868752753979454,"factor anaysis",,,,,,,
"expensive",-0.0140410607052947,-0.0404239722961496,0.0816012244856464,-0.0167476742829702,-0.0645837725799504,0.798859338822127,"factor anaysis",,,,,,,
"worthless_alone",-0.0176775275094122,0.00114696042684073,-0.0281593028987105,0.0195250580727727,1.00188354949639,0.0283516878812548,"factor anaysis",,,,,,,
"value_with_others",0.0420915448341243,0.0168937837524423,0.108042926522696,-0.0364112787739581,0.721530965280102,-0.050411930391792,"factor anaysis",,,,,,,
"have_choice",-0.815385446567428,-0.0179901829418726,0.0549331539961883,-0.0465440539492779,0.0327307374950144,-0.013966161952172,"factor anaysis",,,,,,,
"have_other_options",-0.64998625259324,0.0932089105987339,-0.0196728194596884,0.0251907109280569,-0.0520294505273271,0.191139227929849,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739715367427,0.0273021012433779,-0.0386428025559369,-0.109063396889913,0.135986651564721,-0.0200599352081509,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408618228377,0.0561888255723586,0.0280366743146937,0.0112323055769118,-0.0413362405880084,0.085825547601499,"factor anaysis",,,,,,,
"cant_control_timing",0.722879974069114,0.023748785282008,0.0834111368891367,-0.020921247821251,-0.0129223889283083,0.0711190360939845,"factor anaysis",,,,,,,
"can_hold_touch",0.0203797481933528,-0.0614056763664856,-0.01778547417692,0.800482845242743,-0.0258075825172549,-0.0666760418726128,"factor anaysis",,,,,,,
"physical_product",-0.00972058879614351,0.0281090075921318,0.018244763751481,1.00383769778535,0.0195820176718883,0.0249685666980694,"factor anaysis",,,,,,,
"use_long_period",-0.0421804754989555,0.0334993660404356,0.852353228387644,-0.0109600986865718,0.00982839688858429,0.00962637941756232,"factor anaysis",,,,,,,
"lasts_a_while",0.0304981554136525,-0.0222181848132279,0.989504939508583,0.0173497690652699,0.00517411912194258,-0.0106519859584759,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426411871132641,0.603584994315452,0.0338806361385931,-0.0961124717458796,-0.0155892428866118,-0.093529473198749,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146818775676661,0.520741303058004,0.0609070435944873,-0.0161400091253021,0.0492669627277685,0.0533781826820038,"factor anaysis",,,,,,,
"expect_free",-0.018328015776318,0.955530485593679,-0.029115627400627,0.0345740148266684,-0.00200343083594647,-0.00109327318044315,"factor anaysis",,,,,,,
"should_be_free",0.174675016237411,0.716563395280145,0.0239626956730718,-0.0461109534248113,0.0331016506443223,0.014487059462904,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.002,399,"p=0.974",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.34,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_overpriced",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.134,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.141,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",0.003,399,"p=0.959",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.203,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_overpriced",-0.142,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.278,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.099,399,"p=0.048",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.028,399,"p=0.575",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.306,399,"p<.001",,,
