"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330699930966134,0.0183341314942161,-0.0740723751004985,-0.00438700211306776,0.0692697423200988,0.868754027792754,"factor anaysis",,,,,,,
"expensive",-0.0140444931709135,-0.0404260301099485,0.0816006353797074,-0.016745711433878,-0.0645852169035247,0.798860305853799,"factor anaysis",,,,,,,
"worthless_alone",-0.0176765255865883,0.00114611366337879,-0.0281587049001726,0.0195263018549925,1.0018833530278,0.0283532377598392,"factor anaysis",,,,,,,
"value_with_others",0.0420924271797392,0.0168934707648148,0.108043416987641,-0.0364105082526723,0.721531073019492,-0.0504108542252797,"factor anaysis",,,,,,,
"have_choice",-0.815385407102817,-0.0179904045591292,0.0549323842565625,-0.0465445463952108,0.0327314772960622,-0.0139663258170377,"factor anaysis",,,,,,,
"have_other_options",-0.649987228733861,0.0932082287937965,-0.019673525036897,0.0251907671326102,-0.0520293032661057,0.191139257767979,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739874189834,0.0273023204510181,-0.0386421676564935,-0.109062879070618,0.135986195922983,-0.0200595461347665,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408135869389,0.05618891305453,0.0280373307613115,0.0112329649080423,-0.041336966479193,0.0858258181340706,"factor anaysis",,,,,,,
"cant_control_timing",0.722879573753138,0.0237489073036733,0.0834117458469418,-0.0209206191243208,-0.012922996833759,0.0711193263681874,"factor anaysis",,,,,,,
"can_hold_touch",0.0203806220111509,-0.0614059298446322,-0.0177849710416682,0.80048253172723,-0.0258078938588399,-0.0666764743326255,"factor anaysis",,,,,,,
"physical_product",-0.00972006937468553,0.0281084044229121,0.018245361397663,1.00383766148678,0.0195815103044683,0.0249682833132899,"factor anaysis",,,,,,,
"use_long_period",-0.0421811053105537,0.0334997119353437,0.852353117493861,-0.0109600004922874,0.00982926717174523,0.00962652228990503,"factor anaysis",,,,,,,
"lasts_a_while",0.0304976176128825,-0.0222177309946839,0.989504889629135,0.0173498444497385,0.00517507689729667,-0.0106518712449657,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426417589605659,0.603585520102032,0.0338808127595768,-0.0961125431091508,-0.015588770751645,-0.0935293726568322,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146819742679152,0.520741293280833,0.060907084830277,-0.0161397253199375,0.0492671898222117,0.0533784958795162,"factor anaysis",,,,,,,
"expect_free",-0.0183293382765824,0.955530789431554,-0.0291152612534394,0.0345743051582585,-0.00200318132717587,-0.00109294729111111,"factor anaysis",,,,,,,
"should_be_free",0.174673925149086,0.716563679422455,0.0239631100012312,-0.0461105265460651,0.0331017355304323,0.0144874575459331,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
