"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.033072000061663,0.0183359813436389,-0.0740719810943663,-0.00438746108506386,0.0692705877542297,0.868753388535572,"factor anaysis",,,,,,,
"expensive",-0.0140426400800859,-0.0404243497067337,0.081601024315658,-0.0167459842958467,-0.0645844736955763,0.798859798833329,"factor anaysis",,,,,,,
"worthless_alone",-0.0176768811333903,0.00114683172172688,-0.0281585569831711,0.019526144084215,1.00188316673546,0.0283530800134403,"factor anaysis",,,,,,,
"value_with_others",0.0420920754299472,0.0168937972637965,0.108043523639786,-0.036410593283953,0.721530941953694,-0.0504109349345366,"factor anaysis",,,,,,,
"have_choice",-0.815385297083018,-0.0179899520072826,0.0549322063957194,-0.0465444542258024,0.0327302028225431,-0.0139665585136548,"factor anaysis",,,,,,,
"have_other_options",-0.649986508218389,0.0932089263562877,-0.0196737200994614,0.0251905614562291,-0.0520302153511605,0.191138820445698,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739744990365,0.0273019641971264,-0.0386419425043521,-0.109062980925728,0.135987192053296,-0.0200594357062983,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408304299911,0.0561886161125677,0.028037513642241,0.0112327958374264,-0.0413357367337124,0.08582592684889,"factor anaysis",,,,,,,
"cant_control_timing",0.722879679435324,0.0237486324850407,0.0834119634652512,-0.0209207161201307,-0.0129218223663102,0.0711194623037008,"factor anaysis",,,,,,,
"can_hold_touch",0.0203799724067082,-0.0614058668994306,-0.0177854290553449,0.80048266792215,-0.0258082766262767,-0.0666760466560942,"factor anaysis",,,,,,,
"physical_product",-0.00972046645080293,0.0281087195932705,0.0182447423328222,1.00383760617313,0.0195809771823761,0.0249685904176906,"factor anaysis",,,,,,,
"use_long_period",-0.042180830271399,0.0334998159447438,0.852353092476702,-0.0109598836005213,0.00982897933727493,0.00962649235824084,"factor anaysis",,,,,,,
"lasts_a_while",0.0304977601100632,-0.0222176682168547,0.989504906562011,0.0173500907418789,0.00517487867851183,-0.0106517751591927,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426409305962243,0.603585023938556,0.0338802884099437,-0.096113518571441,-0.0155893300026357,-0.0935301373503967,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146818746981592,0.520741271373618,0.0609066319436439,-0.0161406241158309,0.0492666048883093,0.0533777257456572,"factor anaysis",,,,,,,
"expect_free",-0.0183278135954924,0.955530342774616,-0.0291161219776484,0.0345726703256812,-0.00200393327737451,-0.00109418508634009,"factor anaysis",,,,,,,
"should_be_free",0.174675101360517,0.71656327851099,0.0239625713071087,-0.046111766142255,0.0331015005956801,0.0144865466976059,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.002,399,"p=0.974",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.34,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_overpriced",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.134,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.141,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",0.003,399,"p=0.959",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.203,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_overpriced",-0.142,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.278,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.099,399,"p=0.048",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.028,399,"p=0.575",,,
