"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.033071344430064,0.0183353890040946,-0.074071674809754,-0.00438837815864849,0.0692707068722455,0.868753566915314,"factor anaysis",,,,,,,
"expensive",-0.0140431763732736,-0.0404249163755982,0.0816010505449274,-0.016746702014099,-0.0645842094254625,0.798859744833485,"factor anaysis",,,,,,,
"worthless_alone",-0.017677855029023,0.00114727916444036,-0.0281573594076759,0.0195248546721864,1.00188277941003,0.028353216195913,"factor anaysis",,,,,,,
"value_with_others",0.0420913247051915,0.0168943045633523,0.108044304484642,-0.0364113069448187,0.721530829214625,-0.0504108494573479,"factor anaysis",,,,,,,
"have_choice",-0.815385260182252,-0.0179902431975613,0.0549320755371782,-0.0465445914383386,0.0327300002072399,-0.0139669215816632,"factor anaysis",,,,,,,
"have_other_options",-0.649986241746773,0.0932084050314243,-0.0196737068041284,0.0251905837131345,-0.0520304353773997,0.19113880572926,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739204983868,0.0273024880200818,-0.0386417891428205,-0.109063014196476,0.135987481085255,-0.0200591286397361,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.76340821677018,0.0561888984705243,0.0280376174822606,0.0112330306588924,-0.0413354265669903,0.0858263196598679,"factor anaysis",,,,,,,
"cant_control_timing",0.722879467738198,0.0237489806457142,0.083412019888116,-0.0209205479376319,-0.012921456675145,0.0711197459751213,"factor anaysis",,,,,,,
"can_hold_touch",0.0203820910374991,-0.0614068837563878,-0.0177847499248062,0.800482629929452,-0.0258093336150679,-0.0666760705624994,"factor anaysis",,,,,,,
"physical_product",-0.00971777754809752,0.0281073872903316,0.0182457470483787,1.00383768689415,0.019579675521895,0.024968772332554,"factor anaysis",,,,,,,
"use_long_period",-0.0421806166551064,0.0335000792240967,0.85235287284179,-0.0109591482174371,0.00982961049183091,0.0096261951964057,"factor anaysis",,,,,,,
