"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330719277329778,0.0183362376379369,-0.074071357352272,-0.00438808092020248,0.0692705537782058,0.868753420243513,"factor anaysis",,,,,,,
"expensive",-0.0140427732710816,-0.0404241933908421,0.0816015179604146,-0.0167466539962827,-0.0645843803553648,0.798859732482241,"factor anaysis",,,,,,,
"worthless_alone",-0.0176766236071662,0.00114594002679711,-0.0281584732754262,0.0195258515976968,1.00188347470738,0.0283529649274248,"factor anaysis",,,,,,,
"value_with_others",0.0420921512654336,0.0168932881901377,0.108043556444787,-0.0364107487053692,0.721531005394402,-0.0504108999926905,"factor anaysis",,,,,,,
"have_choice",-0.815384920076897,-0.0179924561977744,0.0549318099980265,-0.0465446993809436,0.0327321459632174,-0.0139669559615693,"factor anaysis",,,,,,,
"have_other_options",-0.649986099888088,0.0932069881227422,-0.0196738139225745,0.0251904343749652,-0.0520285016563278,0.191138702159827,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739282747397,0.027303899238591,-0.0386416592015463,-0.109062822970397,0.135985387391111,-0.0200590366102181,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763407899361811,0.0561909668279994,0.0280379514921571,0.0112330136476828,-0.0413375464740679,0.0858264219684335,"factor anaysis",,,,,,,
"cant_control_timing",0.722879236406483,0.0237508414917993,0.0834123435288163,-0.0209205750077882,-0.0129235809796031,0.0711198926921778,"factor anaysis",,,,,,,
"can_hold_touch",0.0203811074147909,-0.0614065185952261,-0.0177853777611979,0.800482808304278,-0.0258065141228281,-0.0666765850407882,"factor anaysis",,,,,,,
"physical_product",-0.00971898585069604,0.0281077312034277,0.018244940406378,1.00383783778772,0.0195833887946928,0.0249681358474497,"factor anaysis",,,,,,,
"use_long_period",-0.0421809322784597,0.0334992602922411,0.852353054431509,-0.0109600249027534,0.00982969777186167,0.00962674836022102,"factor anaysis",,,,,,,
"lasts_a_while",0.0304976175373419,-0.0222180848402421,0.989504844219354,0.0173498726837491,0.0051755469742455,-0.0106515902683555,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426408030687183,0.60358483605634,0.0338806175563078,-0.096112516064112,-0.0155890819323321,-0.0935287588083707,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146818482042748,0.520740669655699,0.0609069706685627,-0.0161398957666434,0.0492672981479116,0.0533788290498501,"factor anaysis",,,,,,,
"expect_free",-0.0183273632191088,0.95553007419966,-0.0291154424867653,0.0345742097224666,-0.00200326514760045,-0.00109209671153095,"factor anaysis",,,,,,,
"should_be_free",0.174675229012795,0.716563671596544,0.023963163537884,-0.0461106122441707,0.0331014096885431,0.0144882474397402,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.002,399,"p=0.974",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.34,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_overpriced",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.134,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.141,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",0.003,399,"p=0.959",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.203,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_overpriced",-0.142,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.278,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.099,399,"p=0.048",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.028,399,"p=0.575",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.306,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.152,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_f_overpriced",-0.163,399,"p=0.001",,,
,,,,,,,"factor score correlations","f_physical_product_ln_typ_charge",-0.09,399,"p=0.073",,,
,,,,,,,"factor score correlations","f_physical_product_ln_disutility",-0.154,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_like_1",0.186,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_value_1",0.04,399,"p=0.423",,,
,,,,,,,"factor score correlations","f_worthless_alone_f_overpriced",0.067,399,"p=0.183",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.021,399,"p=0.672",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.029,399,"p=0.566",,,
,,,,,,,"factor score correlations","f_worthless_alone_like_1",-0.115,399,"p=0.021",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",0.014,399,"p=0.784",,,
,,,,,,,"factor score correlations","f_overpriced_ln_typ_charge",0.474,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_ln_disutility",0.553,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_like_1",-0.35,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_value_1",-0.373,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.752,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_like_1",-0.289,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",-0.046,399,"p=0.356",,,
,,,,,,,"factor score correlations","ln_disutility_like_1",-0.411,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",-0.26,399,"p<.001",,,
,,,,,,,"factor score correlations","like_1_value_1",0.476,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.029","f_neg_have_choice",0.25,0.115
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.004","f_expect_free",0.33,0.115
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.194","f_lasts_a_while",0.143,0.11
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.054","f_physical_product",-0.206,0.107
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.043","f_worthless_alone",-0.228,0.113
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_overpriced",2.15,0.147
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","like_1",-0.335,0.065
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.004","value_1",-0.225,0.079
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.211,
