"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330691169430129,0.0183326529804516,-0.0740731902151991,-0.00438643345429295,0.069269042154028,0.868754271409254,"factor anaysis",,,,,,,
"expensive",-0.0140451858514449,-0.0404274707748473,0.0816000484141315,-0.0167448780648314,-0.0645859657805262,0.798860743390893,"factor anaysis",,,,,,,
"worthless_alone",-0.0176774301429715,0.00114699975056442,-0.0281600347262933,0.0195239477994518,1.00188343156868,0.0283508747482764,"factor anaysis",,,,,,,
"value_with_others",0.0420918410831841,0.016894267068866,0.108042594501422,-0.0364121624603554,0.721531305616145,-0.0504125028911957,"factor anaysis",,,,,,,
"have_choice",-0.815385083572452,-0.0179905221723595,0.0549317564234256,-0.0465447752848305,0.0327305798921141,-0.0139669610222112,"factor anaysis",,,,,,,
"have_other_options",-0.649987086411069,0.0932076337585998,-0.0196742099250702,0.0251910313424814,-0.0520300806090731,0.191139219551101,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739578304141,0.0273026380125027,-0.0386417365853016,-0.109063085855043,0.135986966167859,-0.0200594766909933,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763407795952703,0.0561888833361525,0.0280378737181673,0.0112333581710108,-0.0413361187033539,0.0858265520771807,"factor anaysis",,,,,,,
"cant_control_timing",0.7228792416057,0.0237489494187256,0.0834122763199251,-0.0209203192187278,-0.0129222056509589,0.0711199080753483,"factor anaysis",,,,,,,
"can_hold_touch",0.0203803265338451,-0.0614059401239457,-0.0177855420114715,0.800482433784466,-0.0258079389927157,-0.066676242488759,"factor anaysis",,,,,,,
"physical_product",-0.00972054550857988,0.0281081971404754,0.018244400354095,1.0038376488844,0.0195814747596625,0.0249686760806267,"factor anaysis",,,,,,,
"use_long_period",-0.0421811312124714,0.0334998058087043,0.852353016633613,-0.0109595090701244,0.00982945942452001,0.00962679371020428,"factor anaysis",,,,,,,
"lasts_a_while",0.0304975512604598,-0.022217546506416,0.989504867785095,0.0173503529841047,0.00517532478156111,-0.010651597953236,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426414314607429,0.6035853978887,0.0338806459882624,-0.0961118643470364,-0.015587934108102,-0.0935283532527935,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146819627688462,0.520740977347905,0.0609065973108317,-0.0161391770822492,0.0492676857787938,0.0533792504925599,"factor anaysis",,,,,,,
"expect_free",-0.0183290760709192,0.955530326324051,-0.0291158041699273,0.0345754099515713,-0.00200195494010057,-0.00109124676875341,"factor anaysis",,,,,,,
"should_be_free",0.17467403173028,0.716563402411331,0.0239628568908952,-0.0461097040390255,0.0331028697872802,0.0144887646104346,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.002,399,"p=0.974",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.34,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_overpriced",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.134,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.141,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",0.003,399,"p=0.959",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.203,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_overpriced",-0.142,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.278,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.099,399,"p=0.048",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.028,399,"p=0.575",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.306,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.152,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_f_overpriced",-0.163,399,"p=0.001",,,
,,,,,,,"factor score correlations","f_physical_product_ln_typ_charge",-0.09,399,"p=0.073",,,
,,,,,,,"factor score correlations","f_physical_product_ln_disutility",-0.154,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_like_1",0.186,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_value_1",0.04,399,"p=0.423",,,
,,,,,,,"factor score correlations","f_worthless_alone_f_overpriced",0.067,399,"p=0.183",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.021,399,"p=0.672",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.029,399,"p=0.566",,,
,,,,,,,"factor score correlations","f_worthless_alone_like_1",-0.115,399,"p=0.021",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",0.014,399,"p=0.784",,,
,,,,,,,"factor score correlations","f_overpriced_ln_typ_charge",0.474,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_ln_disutility",0.553,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_like_1",-0.35,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_value_1",-0.373,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.752,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_like_1",-0.289,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",-0.046,399,"p=0.356",,,
,,,,,,,"factor score correlations","ln_disutility_like_1",-0.411,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",-0.26,399,"p<.001",,,
,,,,,,,"factor score correlations","like_1_value_1",0.476,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.205","f_neg_have_choice",0.136,0.107
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.57,0.124
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.058","f_lasts_a_while",-0.217,0.115
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.081","f_physical_product",-0.187,0.107
