"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0330697186083208,0.0183337499304457,-0.0740718761200898,-0.00438690153368474,0.0692698776622587,0.868754080179997,"factor anaysis",,,,,,,
"expensive",-0.0140448648737998,-0.0404262649455947,0.0816008992424543,-0.0167454702220778,-0.064585157888537,0.798860509333316,"factor anaysis",,,,,,,
"worthless_alone",-0.0176761969340868,0.00114601543623942,-0.0281575469351017,0.0195257759611709,1.0018830942131,0.0283530882264566,"factor anaysis",,,,,,,
"value_with_others",0.0420927462830799,0.0168934743437605,0.108044325009166,-0.0364108362516981,0.721530883940054,-0.0504108182896317,"factor anaysis",,,,,,,
"have_choice",-0.815385388150552,-0.0179906292151689,0.054931413837229,-0.0465447199186789,0.032731806949794,-0.0139657420837241,"factor anaysis",,,,,,,
"have_other_options",-0.649987107596727,0.093207764892671,-0.0196743198968192,0.0251906141848815,-0.052028799387092,0.191139765971451,"factor anaysis",,,,,,,
"no_real_alternatives",0.633739935515135,0.027302551191516,-0.0386411731688233,-0.109062815440363,0.135985960281016,-0.0200599080922047,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.763408183127508,0.0561890668227787,0.0280382853099086,0.0112331629978665,-0.0413371860295329,0.0858254334657948,"factor anaysis",,,,,,,
"cant_control_timing",0.722879583134537,0.0237491276254027,0.0834126908984528,-0.0209204029771746,-0.0129232652997741,0.0711190096686564,"factor anaysis",,,,,,,
"can_hold_touch",0.0203806066911826,-0.0614062089647005,-0.0177853544351329,0.800482437351467,-0.0258082612340855,-0.0666771196070268,"factor anaysis",,,,,,,
"physical_product",-0.0097198888678021,0.0281078422501411,0.018244963242532,1.00383748894707,0.0195812612921263,0.0249676606522578,"factor anaysis",,,,,,,
"use_long_period",-0.0421808195740408,0.0334998156929499,0.852353171748938,-0.0109596837008587,0.00982926222395659,0.0096275150220386,"factor anaysis",,,,,,,
"lasts_a_while",0.030497833973076,-0.0222174948592259,0.989505014429381,0.0173502582808106,0.00517490956347612,-0.0106508557371393,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0426405285497975,0.603584675484166,0.033880828175544,-0.0961128598859716,-0.0155875958975612,-0.0935286307299211,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.146818687935721,0.520740440174441,0.0609070667273309,-0.0161400285267836,0.0492682317850815,0.0533792088872517,"factor anaysis",,,,,,,
"expect_free",-0.0183274362172355,0.955529298528571,-0.0291151714140427,0.0345737691916595,-0.00200137612217462,-0.00109199907521377,"factor anaysis",,,,,,,
"should_be_free",0.174675353812885,0.716562665637262,0.0239634966497318,-0.0461108686194638,0.0331030144829568,0.0144881456040457,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.273",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.053,399,"p=0.294",,,
,,,,,,,"factor score correlations","painful_1_f_overpriced",0.693,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.11,399,"p=0.028",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.23,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.119,399,"p=0.017",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.136,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.177,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.237,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",0.002,399,"p=0.974",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.34,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_overpriced",0.106,399,"p=0.033",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.134,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.141,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",0.003,399,"p=0.959",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.203,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_overpriced",-0.142,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.278,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.099,399,"p=0.048",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.028,399,"p=0.575",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.306,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.152,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_f_overpriced",-0.163,399,"p=0.001",,,
,,,,,,,"factor score correlations","f_physical_product_ln_typ_charge",-0.09,399,"p=0.073",,,
