"item","f_neg_have_choice","f_ln_disutility","f_expect_free","f_lasts_a_while","f_can_hold_touch","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0118494352983017,0.640682893724614,0.126960195140612,-0.253106604060718,0.0124550356178184,0.116192588577164,"factor anaysis",,,,,,,
"expensive",-0.0530016447151362,0.723813709333784,0.0674038447908356,-0.0954244437583568,0.00577781257037504,-0.0316621350736487,"factor anaysis",,,,,,,
"worthless_alone",-0.0175765432745705,0.0257470768892403,-0.000796294150567555,-0.0240030471760695,0.00732886048160578,1.00158860161711,"factor anaysis",,,,,,,
"value_with_others",0.0532218422638635,-0.0533493821374259,0.00357917500618237,0.127763911761468,-0.0335114623153058,0.722291277394373,"factor anaysis",,,,,,,
"have_choice",-0.813948711821584,0.0109483221988039,-0.0174856939628266,0.05710316221342,-0.0385611231116544,0.02858524640922,"factor anaysis",,,,,,,
"have_other_options",-0.653697485616123,0.12908035542732,0.113980185600423,-0.0595284045875255,0.0147003415154919,-0.0409907835873174,"factor anaysis",,,,,,,
"no_real_alternatives",0.649946257339836,-0.0215026608393364,0.0465484818529394,-0.043219452170434,-0.0287358152259213,0.131836036130616,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.743255706123795,0.105190098347874,0.0637436788558714,0.0183110045775554,-0.0410912675214035,-0.0415764514822638,"factor anaysis",,,,,,,
"cant_control_timing",0.715061975278627,0.0743190782855209,0.0377554686247075,0.0599994620860535,-0.0322864790366658,-0.0100129357527296,"factor anaysis",,,,,,,
"can_hold_touch",0.0311417730315737,-0.0323796267050609,-0.012274591860075,-0.00808376091554134,0.993905078768206,-0.0207230323392447,"factor anaysis",,,,,,,
"physical_product",-0.073012309055275,0.0584938673149235,0.00724908322079275,0.05850034809703,0.812129072807747,0.0299902867543584,"factor anaysis",,,,,,,
"use_long_period",-0.0431271185129217,0.00981736515092038,0.0499079353032423,0.874319002100029,-0.0132162795223779,0.0205199664875155,"factor anaysis",,,,,,,
"lasts_a_while",0.0377422920731797,0.00391412680758442,0.00160507840846059,0.958143098378284,0.042089411497039,0.0222937423450076,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0450787262766636,-0.0226587016200914,0.600189830524398,0.0673217954450839,-0.0853943391606491,-0.0306256801112745,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.161930915577766,-0.00855717815913686,0.513491104386394,0.0736137442906837,-0.119185056914666,0.0530577577902435,"factor anaysis",,,,,,,
"expect_free",-0.0166622402684138,0.00700124367570842,0.929859203935851,-0.00323484423096053,0.0262991480194965,0.00109821193455373,"factor anaysis",,,,,,,
"should_be_free",0.183211604319442,-0.0245445910564764,0.742782162938173,0.0283564499044935,-0.02057727216451,0.0289990492618644,"factor anaysis",,,,,,,
"ln_disutility",0.0506032837193732,0.85724105951017,-0.00426666955814211,-0.00895302072509829,0.0245042757398717,0.0416204918121912,"factor anaysis",,,,,,,
"ln_typ_charge",0.029520399497706,0.799999838041313,-0.129883129778474,0.232620154313627,-0.0651579520942287,-0.0576397762340728,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.241,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_ln_disutility",0.69,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.066,399,"p=0.188",,,
,,,,,,,"factor score correlations","painful_1_f_can_hold_touch",-0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.069,399,"p=0.169",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_ln_disutility",0.146,399,"p=0.003",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.276,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.104,399,"p=0.038",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_can_hold_touch",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.117,399,"p=0.019",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.151,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.187,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.188,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_expect_free",-0.056,399,"p=0.261",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_lasts_a_while",0.055,399,"p=0.268",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_can_hold_touch",-0.155,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_worthless_alone",0.033,399,"p=0.513",,,
,,,,,,,"factor score correlations","f_ln_disutility_ln_typ_charge",0.864,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_ln_disutility",0.885,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_like_1",-0.399,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_value_1",-0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",-0.044,399,"p=0.384",,,
,,,,,,,"factor score correlations","f_expect_free_f_can_hold_touch",-0.353,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.279,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.175,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",-0.014,399,"p=0.774",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.135,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",-0.01,399,"p=0.834",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_can_hold_touch",0.036,399,"p=0.471",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.29,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.094,399,"p=0.061",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.023,399,"p=0.643",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.315,399,"p<.001",,,
,,,,,,,"factor score correlations","f_can_hold_touch_f_worthless_alone",-0.143,399,"p=0.004",,,
,,,,,,,"factor score correlations","f_can_hold_touch_ln_typ_charge",-0.109,399,"p=0.029",,,
,,,,,,,"factor score correlations","f_can_hold_touch_ln_disutility",-0.122,399,"p=0.014",,,
,,,,,,,"factor score correlations","f_can_hold_touch_like_1",0.213,399,"p<.001",,,
,,,,,,,"factor score correlations","f_can_hold_touch_value_1",0.012,399,"p=0.804",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.019,399,"p=0.7",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.061,399,"p=0.226",,,
,,,,,,,"factor score correlations","f_worthless_alone_like_1",-0.128,399,"p=0.01",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",-0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.752,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_like_1",-0.289,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",-0.046,399,"p=0.356",,,
,,,,,,,"factor score correlations","ln_disutility_like_1",-0.411,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",-0.26,399,"p<.001",,,
,,,,,,,"factor score correlations","like_1_value_1",0.476,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.14","f_neg_have_choice",0.156,0.106
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_ln_disutility",2.192,0.157
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.693,0.123
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_lasts_a_while",-0.375,0.104
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.019","f_can_hold_touch",-0.252,0.107
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.871","f_worthless_alone",-0.019,0.114
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.174,
