"item","f_neg_have_choice","f_ln_disutility","f_expect_free","f_lasts_a_while","f_can_hold_touch","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0118487850600662,0.640682522869075,0.126958934642207,-0.253107000239552,0.0124559932745821,0.116192189409274,"factor anaysis",,,,,,,
"expensive",-0.0530017726421519,0.723813963197389,0.0674026985052258,-0.095425052462183,0.00577804246537868,-0.0316628846290765,"factor anaysis",,,,,,,
"worthless_alone",-0.0175790098196576,0.0257439584540316,-0.000798027198967961,-0.0240026241588018,0.00733344271889046,1.00159020348848,"factor anaysis",,,,,,,
"value_with_others",0.0532203536520328,-0.0533515846356517,0.00357806054274208,0.127764371046244,-0.0335080531426398,0.722292678271952,"factor anaysis",,,,,,,
"have_choice",-0.813948945357055,0.0109488556053826,-0.0174851833840872,0.0571025534209341,-0.0385621856349902,0.0285848015492167,"factor anaysis",,,,,,,
"have_other_options",-0.653697781842788,0.129080928435136,0.113980390455921,-0.059529070168732,0.0146992139668755,-0.0409914160652012,"factor anaysis",,,,,,,
"no_real_alternatives",0.649946224477064,-0.0215035383157875,0.0465479935310565,-0.0432187694654592,-0.0287341762389575,0.131836826972423,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.743256215779583,0.105189772170071,0.0637432176576176,0.0183115969186234,-0.0410901863616052,-0.041575942384153,"factor anaysis",,,,,,,
"cant_control_timing",0.71506242638955,0.0743186861903683,0.0377549882229666,0.0600000424359459,-0.0322853318528823,-0.0100123937828506,"factor anaysis",,,,,,,
"can_hold_touch",0.031139245858881,-0.032380106276932,-0.0122772590793512,-0.00808559172871233,0.99390355926761,-0.0207254717876271,"factor anaysis",,,,,,,
"physical_product",-0.0730144649627121,0.0584934595466568,0.0072467109900605,0.0584987144263659,0.812127945914332,0.0299882494802262,"factor anaysis",,,,,,,
"use_long_period",-0.043126207734319,0.00981788329392052,0.0499076083287319,0.87431881779858,-0.0132162731280169,0.0205202331697347,"factor anaysis",,,,,,,
"lasts_a_while",0.0377431867968053,0.00391460365616935,0.00160453330186205,0.958142860617367,0.0420894597240094,0.0222939291107187,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0450784690101575,-0.0226584738458051,0.600190062418194,0.0673219620171417,-0.0853944220823333,-0.0306251460652575,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.161930799645837,-0.00855710818219797,0.513491346144602,0.0736138969006693,-0.119184880279543,0.0530583657981464,"factor anaysis",,,,,,,
"expect_free",-0.016662469812236,0.00700127106574562,0.929858979917998,-0.00323482915862976,0.0262991254698492,0.00109870292159603,"factor anaysis",,,,,,,
"should_be_free",0.18321157675163,-0.0245447601707461,0.74278197311061,0.0283567330260717,-0.020576818386966,0.0289997656356989,"factor anaysis",,,,,,,
"ln_disutility",0.0506030682030476,0.857241087485273,-0.00426830333300474,-0.00895367321503734,0.024505051676567,0.0416197457679516,"factor anaysis",,,,,,,
"ln_typ_charge",0.0295209349267553,0.8000003665872,-0.129884308949202,0.232619590897912,-0.0651575877353293,-0.0576404484049262,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.241,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_ln_disutility",0.69,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.066,399,"p=0.188",,,
,,,,,,,"factor score correlations","painful_1_f_can_hold_touch",-0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.069,399,"p=0.168",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_ln_disutility",0.146,399,"p=0.003",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.276,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.104,399,"p=0.038",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_can_hold_touch",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.117,399,"p=0.019",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.151,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.187,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.188,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_expect_free",-0.056,399,"p=0.261",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_lasts_a_while",0.055,399,"p=0.268",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_can_hold_touch",-0.155,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_worthless_alone",0.033,399,"p=0.513",,,
