"item","f_neg_have_choice","f_ln_disutility","f_expect_free","f_lasts_a_while","f_can_hold_touch","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0118491871754364,0.640681968468333,0.126960056725786,-0.253107317264154,0.012455540521255,0.116192477383559,"factor anaysis",,,,,,,
"expensive",-0.053001475496479,0.72381354365649,0.06740414757107,-0.0954251857238776,0.00577780133805112,-0.0316621643915839,"factor anaysis",,,,,,,
"worthless_alone",-0.0175773565818385,0.025744534548402,-0.000796694819575195,-0.0240030352879078,0.00733074724569395,1.00158922029983,"factor anaysis",,,,,,,
"value_with_others",0.0532215152841091,-0.0533511314047963,0.00357927486888115,0.127763998784539,-0.0335101286754071,0.722291999350924,"factor anaysis",,,,,,,
"have_choice",-0.813948771953194,0.0109493521425383,-0.0174857115594072,0.0571032788296793,-0.0385617439146247,0.0285853152335657,"factor anaysis",,,,,,,
"have_other_options",-0.653697816718152,0.12908089770741,0.113979968696902,-0.0595286254154706,0.0146998314083122,-0.0409909438470339,"factor anaysis",,,,,,,
"no_real_alternatives",0.649946302282632,-0.0215039238557996,0.0465485969022722,-0.0432194865826939,-0.0287349248911994,0.131836257175015,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.743256066023228,0.10518918227751,0.0637441428439415,0.0183108205119935,-0.0410906665334708,-0.0415762024680346,"factor anaysis",,,,,,,
"cant_control_timing",0.715062344534364,0.0743182208355033,0.037755955118579,0.0599993213668677,-0.0322859089623214,-0.0100126593178112,"factor anaysis",,,,,,,
"can_hold_touch",0.0311391764007055,-0.0323800261394294,-0.0122770885749111,-0.00808508909458465,0.993903648303522,-0.0207256945130238,"factor anaysis",,,,,,,
"physical_product",-0.0730143907031652,0.058493562611475,0.00724720951393714,0.0584991573700021,0.812127855019026,0.0299882250290973,"factor anaysis",,,,,,,
"use_long_period",-0.043126078368235,0.00981816803443836,0.0499099197018491,0.874318761726619,-0.0132170827737408,0.0205210670503298,"factor anaysis",,,,,,,
"lasts_a_while",0.0377433639218825,0.00391500790436341,0.00160711627840954,0.958142823019144,0.0420884877917203,0.0222947859366725,"factor anaysis",,,,,,,
