"item","f_neg_have_choice","f_ln_disutility","f_expect_free","f_lasts_a_while","f_can_hold_touch","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",0.0118488416600001,0.640682426151835,0.126959544585065,-0.253107429794621,0.0124555384769477,0.116191630487597,"factor anaysis",,,,,,,
"expensive",-0.0530021213594962,0.723813751700866,0.0674033784627082,-0.0954252968264815,0.00577812684322637,-0.0316628840551442,"factor anaysis",,,,,,,
"worthless_alone",-0.0175754699358284,0.0257459065536729,-0.000795343938917762,-0.0240031070756543,0.00732873129525625,1.00158809493202,"factor anaysis",,,,,,,
"value_with_others",0.0532228596602692,-0.0533501896863255,0.00358033058973078,0.127763910184452,-0.0335117501012058,0.722291200849612,"factor anaysis",,,,,,,
"have_choice",-0.813948553953866,0.0109490568633086,-0.0174861077673585,0.0571032600481168,-0.0385614335622504,0.0285852199448435,"factor anaysis",,,,,,,
"have_other_options",-0.653697807954371,0.129080738340897,0.113979497919857,-0.0595286223104421,0.0147002696514855,-0.0409910376125559,"factor anaysis",,,,,,,
"no_real_alternatives",0.649946300567113,-0.0215035271909052,0.046549020514611,-0.043219554185175,-0.028735589232631,0.131836024551094,"factor anaysis",,,,,,,
"negative_consequences_if_not",0.743255589760176,0.105189406341339,0.0637442545257307,0.018310726390713,-0.0410910356501256,-0.0415763913991854,"factor anaysis",,,,,,,
"cant_control_timing",0.71506199210573,0.0743184606436965,0.0377561611611789,0.0599992443259141,-0.0322863276289235,-0.0100128117706705,"factor anaysis",,,,,,,
"can_hold_touch",0.0311412289303717,-0.0323789952832472,-0.0122750932436796,-0.00808395645740713,0.993904912902539,-0.0207233368651191,"factor anaysis",,,,,,,
"physical_product",-0.0730126556098666,0.058494465680549,0.00724880840287285,0.0585000659987939,0.812128833014467,0.0299900254574365,"factor anaysis",,,,,,,
"use_long_period",-0.0431259091251067,0.00981814000156673,0.0499102662365813,0.874318729743574,-0.0132175054882361,0.0205211913629128,"factor anaysis",,,,,,,
"lasts_a_while",0.0377436576776185,0.00391503490256174,0.00160765347933385,0.958142858918086,0.0420880819939832,0.0222950788598557,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0450793954349131,-0.0226597272686591,0.600190175303651,0.0673209842808391,-0.0853944468560887,-0.0306254946832462,"factor anaysis",,,,,,,
"people_dont_pay_money",-0.161931354506207,-0.00855805299809089,0.513491452199258,0.0736130568962324,-0.119185208780453,0.0530578952698746,"factor anaysis",,,,,,,
"expect_free",-0.0166634742828624,0.00699955636717238,0.929859455708588,-0.00323616938061465,0.0262991204745728,0.00109824197764484,"factor anaysis",,,,,,,
"should_be_free",0.183210724403677,-0.0245461442860855,0.742782648565667,0.0283554046806769,-0.0205772850254526,0.0289991680126151,"factor anaysis",,,,,,,
"ln_disutility",0.0506030557280962,0.85724118785089,-0.00426681364698667,-0.0089539557811556,0.0245045225638041,0.0416197201061902,"factor anaysis",,,,,,,
"ln_typ_charge",0.0295206346950012,0.80000049988196,-0.129882733023277,0.232619432416142,-0.0651580264478815,-0.0576400912301722,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.241,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_ln_disutility",0.69,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.227,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.066,399,"p=0.188",,,
,,,,,,,"factor score correlations","painful_1_f_can_hold_touch",-0.283,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.069,399,"p=0.169",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.507,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.601,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_like_1",-0.495,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.366,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_ln_disutility",0.146,399,"p=0.003",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.276,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.104,399,"p=0.038",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_can_hold_touch",-0.243,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.117,399,"p=0.019",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_typ_charge",0.151,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_neg_have_choice_ln_disutility",0.187,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_like_1",-0.188,399,"p<.001",,,
,,,,,,,"factor score correlations","f_neg_have_choice_value_1",0.236,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_expect_free",-0.056,399,"p=0.261",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_lasts_a_while",0.055,399,"p=0.268",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_can_hold_touch",-0.155,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_ln_disutility_f_worthless_alone",0.033,399,"p=0.513",,,
,,,,,,,"factor score correlations","f_ln_disutility_ln_typ_charge",0.864,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_ln_disutility",0.885,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_like_1",-0.399,399,"p<.001",,,
,,,,,,,"factor score correlations","f_ln_disutility_value_1",-0.277,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",-0.044,399,"p=0.384",,,
,,,,,,,"factor score correlations","f_expect_free_f_can_hold_touch",-0.353,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.279,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.175,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",-0.014,399,"p=0.774",,,
,,,,,,,"factor score correlations","f_expect_free_like_1",-0.135,399,"p=0.007",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",-0.01,399,"p=0.834",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_can_hold_touch",0.036,399,"p=0.471",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.184,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.29,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.094,399,"p=0.061",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.023,399,"p=0.643",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.315,399,"p<.001",,,
,,,,,,,"factor score correlations","f_can_hold_touch_f_worthless_alone",-0.143,399,"p=0.004",,,
,,,,,,,"factor score correlations","f_can_hold_touch_ln_typ_charge",-0.109,399,"p=0.029",,,
,,,,,,,"factor score correlations","f_can_hold_touch_ln_disutility",-0.122,399,"p=0.014",,,
,,,,,,,"factor score correlations","f_can_hold_touch_like_1",0.213,399,"p<.001",,,
,,,,,,,"factor score correlations","f_can_hold_touch_value_1",0.012,399,"p=0.804",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.019,399,"p=0.7",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.061,399,"p=0.226",,,
,,,,,,,"factor score correlations","f_worthless_alone_like_1",-0.128,399,"p=0.01",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",-0.005,399,"p=0.916",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.752,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_like_1",-0.289,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",-0.046,399,"p=0.356",,,
,,,,,,,"factor score correlations","ln_disutility_like_1",-0.411,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",-0.26,399,"p<.001",,,
,,,,,,,"factor score correlations","like_1_value_1",0.476,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.009","f_neg_have_choice",0.313,0.119
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_ln_disutility",2.667,0.27
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.665,0.126
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.05","f_lasts_a_while",-0.221,0.113
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.09","f_can_hold_touch",-0.191,0.112
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.371","f_worthless_alone",-0.105,0.118
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.002","ln_disutility",-0.316,0.101
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","like_1",-0.264,0.067
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","value_1",-0.367,0.083
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.21,
