term,Value,Std. Error,p_value
f_convenience,-0.495,0.16,p=0.002
f_choice,-0.552,0.151,p<.001
f_expectfree,-0.098,0.159,p=0.539
f_overpriced,1.064,0.179,p<.001
f_budget_strain,0.897,0.169,p<.001
f_complementary,0.143,0.153,p=0.351
1|1.33333333333333,-2.871,0.276,p<.001
1.33333333333333|1.66666666666667,-2.508,0.252,p<.001
1.66666666666667|2,-2.09,0.227,p<.001
2|2.33333333333333,-1.629,0.206,p<.001
2.33333333333333|2.66666666666667,-1.515,0.201,p<.001
2.66666666666667|3,-0.885,0.181,p<.001
3|3.33333333333333,-0.33,0.171,p=0.053
3.33333333333333|3.66666666666667,0.18,0.169,p=0.288
3.66666666666667|4,0.723,0.175,p<.001
4|4.33333333333333,1.133,0.183,p<.001
4.33333333333333|4.66666666666667,1.543,0.196,p<.001
4.66666666666667|5,1.995,0.215,p<.001
5|5.33333333333333,2.73,0.255,p<.001
5.33333333333333|5.66666666666667,3.108,0.282,p<.001
5.66666666666667|6,4.187,0.389,p<.001
6|6.33333333333333,4.822,0.491,p<.001
6.33333333333333|6.66666666666667,6.488,1.021,p<.001
