"item","f_makes_life_more_convenient","f_expect_free","f_use_long_period","f_physical_product","f_worthless_alone","f_neg_no_real_alternatives","analysis","pair","r","df","p_value","term","Value","Std. Error"
"worthless_alone",-0.0133980350939639,-0.0056209193718093,-0.038749786175335,0.0184128379568824,1.0070177393036,0.00203342137022657,"factor anaysis",,,,,,,
"value_with_others",0.0352701460875932,0.0247969188924565,0.121008252345395,-0.0379946037848205,0.713582324902795,-0.0182077302461681,"factor anaysis",,,,,,,
"have_choice",-0.113981116274656,-0.0700213232102147,0.0352949551648434,-0.0490081059884042,0.0485444980659463,0.69075407671798,"factor anaysis",,,,,,,
"have_other_options",-0.00592348017936317,0.068654072258968,-0.0722103687983313,-0.0073316554371575,0.0190358801622912,0.668719717911626,"factor anaysis",,,,,,,
"no_real_alternatives",-0.058166034406665,0.0422821361059281,-0.0233385034187904,-0.0723984210313551,0.0864952391023271,-0.723010269338823,"factor anaysis",,,,,,,
"can_hold_touch",-0.0697025703954993,-0.0496386902193324,-0.0143393121009573,0.815882083715707,-0.0525093638315311,-0.0626020285124329,"factor anaysis",,,,,,,
"physical_product",0.0336441874579386,0.0240212167604937,0.0160591335390807,0.996504426828604,0.0334465786658531,0.0369646863027555,"factor anaysis",,,,,,,
"use_long_period",0.00430578078103505,0.0362309583018418,0.940697919908991,-0.0196660025255161,-0.00632508677117829,0.0426408226392358,"factor anaysis",,,,,,,
"lasts_a_while",-0.00436102577096839,-0.0344408391949135,0.896311686342403,0.033823653025673,0.0122331939711149,-0.0463683226310697,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0290591764408624,0.549955296728126,0.0519628960981681,-0.103619263882355,-0.0134690017535823,0.00298537078762465,"factor anaysis",,,,,,,
"expect_free",-0.00836366237174819,1.01482457098358,-0.00460266987403396,0.0279499972134561,-0.00792081492609396,0.02967706384616,"factor anaysis",,,,,,,
"should_be_free",0.0356800831914154,0.671071302565394,0.00526932222765595,-0.061166644701706,0.0628973779175254,-0.159038176577331,"factor anaysis",,,,,,,
"saves_time",0.782532994192417,0.069479263038159,-0.0696424011646311,0.0116567694852146,0.0179228075620382,0.0874595578365314,"factor anaysis",,,,,,,
"makes_life_easier",0.846340843276344,0.0135687554434083,0.00796800711423277,0.0117155354544227,-0.0304430297073003,-0.0773326854181128,"factor anaysis",,,,,,,
"makes_life_more_convenient",0.94305348758431,-0.0532510091776997,0.0355057395492716,-0.0207945727427701,0.0100912899292679,-0.00680037325477198,"factor anaysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_makes_life_more_convenient",-0.14,399,"p=0.005",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",0.219,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_use_long_period",-0.01,399,"p=0.844",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.199,399,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.063,399,"p=0.206",,,
,,,,,,,"factor score correlations","painful_1_f_neg_no_real_alternatives",-0.172,399,"p<.001",,,
,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_expect_free",0.139,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_use_long_period",0.076,399,"p=0.13",,,
,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_physical_product",-0.065,399,"p=0.196",,,
,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_worthless_alone",-0.143,399,"p=0.004",,,
,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_neg_no_real_alternatives",-0.323,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_use_long_period",-0.009,399,"p=0.86",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.345,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.282,399,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_f_neg_no_real_alternatives",-0.253,399,"p<.001",,,
,,,,,,,"factor score correlations","f_use_long_period_f_physical_product",0.058,399,"p=0.25",,,
,,,,,,,"factor score correlations","f_use_long_period_f_worthless_alone",0.222,399,"p<.001",,,
,,,,,,,"factor score correlations","f_use_long_period_f_neg_no_real_alternatives",-0.09,399,"p=0.073",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.153,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_f_neg_no_real_alternatives",0.235,399,"p<.001",,,
,,,,,,,"factor score correlations","f_worthless_alone_f_neg_no_real_alternatives",-0.17,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_makes_life_more_convenient",-0.555,0.099
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.388,0.102
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.979","f_use_long_period",0.002,0.091
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.046","f_physical_product",-0.187,0.094
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.531","f_worthless_alone",-0.065,0.104
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_neg_no_real_alternatives",-0.45,0.099
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.034,
